Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
14		PD03_02	PM2.5	4.022818089	2.263186044	7.574225677	1.134844151	126	58.4343791	13.41245174	8.212793618		0.063755864	3.500762954			0	0	4.418871552	2.190467343	0.969961379	0	8.796551079
17		PD03_02	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	54	50.46233535	0	3.816532344		0.031231844	0.014085133			0	0	0	0	10.61453074	0	35.06127894
19		PD03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	0	76.56860948	9.911821038		0.056447141	0.096987048			10.68042144	0	0	0	0	0	2.685710415
16		PD03_02	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	90	45.57721019	10.31711921	2.857227437	34.32694077	2.674144879	1.841415651			0	0	1.133788005	0	0.431163609	0.622125342	0.218860991
22		PD03_02	PM2.5	0.670469681	0.923941834	3.585539429	1.525878653	37	89.56943154	0	0		7.533095032	0.070983043			0.2542492	0.272827595	0.307100872	0.349084823	0.425766734	0.53419522	0.683270022
21		PD03_02	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	70	55.40909171	7.39678517	13.25173974		9.287977219	0			0	0	0	0	0	0	14.65440392
20		PD03_02	PM2.5	2.123153991	1.644166543	6.306546055	1.490705263	104	59.8459661	25.91415644	10.16113311		0	0			0	0	4.078748822	0	0	0	0
23		PD03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	29	35.13851166	21.32548094	2.265960537		0.679494347	0.810222141			6.388059258	0	0	0	25.78036487	7.039027661	0.572889345
25		PD03_02	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	11	0	25.12167096	60.49170494		0.271112705	0.364161446			1.255374402	1.341567654	1.503025554	1.703482121	2.067619376	2.585075423	3.295192495
24		PD03_02	PM10	11.28623964	3.790789709	17.91450359	2.262822172	436	54.70793247	0	13.29592913	21.40626758	0	0.697812345			4.821585491	1.490241475	0	0	0	0	3.580230847
27		PD03_02	PM2.5	1.45268431	1.360005555	5.487058862	1.649294187	79	77.37137675	0	3.565604985		0	0.015181814			0	0	0	0	0	12.38969862	6.658136845
30		PD03_02	PM2.5	1.676174204	1.46088031	4.590674005	1.00051566	54	62.66947389	36.40798628	0		0	0.017409302			0	0	0	0	0	0.905132666	0
31		PD03_02	PM10	6.704696814	2.92176062	10.8203224	1.389605083	267	65.84573984	8.681532741	17.99684912		0	0.922294427			0	6.553580612	0	0	0	0	0
35		PD03_02	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	39	33.78089666	0.366874924	7.106492668		3.416622803	3.17128934			2.481323667	12.21013367	14.36985731	23.0965063	0	0	0
33		PD03_02	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	75	49.59238768	2.448327839	10.31889915		0.624854211	0.012492621			1.197192911	2.473296225	16.47835076	4.573971778	3.95341292	6.668971479	1.65784061
