Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	Be Wt%	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Br Wt%	Mo Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
118		CM01_03	PM2.5	4.469797876	2.385607556	12.68998977	2.866980872	136		77.89352536	0	1.954977214			0	9.207937866			10.94355285	0	0	0	0	0	0
119		CM01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17		62.39725947	26.80277526	0.10581055			0	6.094998494			0.414581457	0.444617867	0.500084274	0.568259088	0.692657102	0.86857602	1.11038303
121		CM01_03	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	64		27.10705101	0	0			3.220161796	6.221304834			0.856486708	1.15543725	0	0	15.62033892	11.38858497	34.43064094
126		CM01_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	16		72.12167382	0	25.84325075			0.028173701	0.049497507			0.176496664	0.189259811	0.212969957	0.24191672	0.294752559	0.36956456	0.472453097
125		CM01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9		20.10258883	0	0			0	0.027083556			0.139199116	0.300336722	0	0	0	67.54082441	11.8899636
127		CM01_03	PM2.5	2.681878726	1.847883667	7.388578295	1.619842392	77		15.98427445	3.98574844	2.560975403			0.003303306	2.97329165			5.990228802	7.325218618	21.50208801	10.71974486	0	2.856602706	26.0985285
124		CM01_03	PM10	8.716105859	3.331319657	13.88077173	1.759117563	309		41.53671265	7.679682225	0		12.48342022	1.309888251	11.28931865			0	10.75196639	10.62529311	0	4.135590792	0	0.188125693
129		CM01_03	PM10	7.822146283	3.15586216	11.9792523	1.45990174	230		56.61693811	11.40902117	0	20.42146325		0.963867549	3.863310069			4.665741324	0	1.296345983	0	0.76330211	0	0
130		CM01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	16		70.4904139	0	0			9.182203561	19.12055165			0.176007894	0.110803428	0.124314858	0.140758476	0.17059251	0.212998851	0.271356013
128		CM01_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	30		53.68202329	0	0			2.692808583	40.55548906			0.790341478	0.353459199	0.262508471	0.296373921	0.357579929	0.444759615	0.564658269
131		CM01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13		12.20975667	0	0			0	0.041089562			74.40335155	0	0	13.3458063	0	0	0
