Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Ti Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
87		PD02_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	33	38.67233396	0		0		0.007068575	21.6645062			0.370007008	0.4138235	1.895701699	1.985109597	4.762341827	0	30.22911251
86		PD02_01	PM10	10.61576996	3.676468156	13.17003426	1.30020684	329	59.39139128	0		3.435919061		0	25.97331107			2.476716414	0	0	0.350572728	0	0	8.372096717
88		PD02_01	PM10	8.157381124	3.22277834	11.79360492	1.356852166	285	63.94910216	1.633571088		3.473345935		0.41372464	28.62161994			0	0	1.501265075	0	0.40737344	0	0
89		PD02_01	PM2.5	2.90536862	1.923338301	6.754738484	1.249700586	131	46.96413279	10.90706438		12.08442897		0.523885572	4.580595717			0.487234024	0	0	0	0.073651242	4.931540415	19.4474712
90		PD02_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	38	56.37964606	32.78069794		0		0	9.681806713			0.085683254	0.089346262	0.100506016	0.117089693	0.765226409	0	0
91		PD02_01	PM10	6.928186708	2.970057456	12.61309211	1.827316129	256	29.95117903	5.096847564		8.815736324	18.01519096	2.218693309	0.672178669			0	0	0	0	2.939468808	10.65613329	21.63457125
92		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	7	61.40623689	35.408476		0.309413509		0.049716304	0.08990221			1.640252583	1.095999591	0	0	0	0	0
94		PD02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	40	28.37554216	5.984394625		1.718929224		6.282634288	2.511947602			3.475663438	3.391526267	1.750029437	2.215503342	5.554417148	0	38.73940706
95		PD02_01	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	47	20.54082751	0		0		4.764324427	0.012201427			11.91980988	19.10026819	29.6266228	0	5.890407041	4.1827593	3.962773085
93		PD02_01	PM10	6.14597208	2.79737282	9.475745111	1.162589224	222	41.40695333	6.641729176		0.122530886		0	13.32376748			6.514178962	8.251065016	5.648301914	0	0	6.519184262	11.57227308
