Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Ti Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
105		AM02_03	PM2.5	1.229194416	1.251023157	4.96196877	1.593960703	66	59.40492749	0	0.672126701		0.235720212		0.339924684			8.294980228	1.906871051	0	8.243367076	20.90207338	0	0
106		AM02_03	PM2.5	1.117449469	1.192803778	4.142481576	1.22203435	43	6.491241604	2.738296241	0		0.005330975		0.0785465			9.630156308	8.291766793	15.11202604	0	9.775656462	5.680488795	42.1964854
107		AM02_03	PM10	25.58959284	5.708036575	20.63551022	1.324210975	762	53.27255726	2.030835487	16.68646485	22.05356508	0.865542516		1.846279763			0	0	0	0	3.244753182	0	0
108		AM02_03	PM2.5	1.899664097	1.555225852	5.038866433	1.063601679	94	42.12263525	10.9397836	9.240353853		0		2.034771629			10.27249023	8.588369191	5.490636453	0	0.034382383	8.226791769	3.049792349
112		AM02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	16	59.09152031	0	2.602526359		14.35854882		0			0	0	9.501611441	0	4.602441564	7.608496398	2.234846726
109		AM02_03	PM2.5	2.458388832	1.769213915	5.595808581	1.013596872	113	70.38835883	0	0		0		14.94002342			0	4.456720874	3.516541794	0	0	6.698359549	0
111		AM02_03	PM2.5	0.782214628	0.997971241	3.322994383	1.123371539	21	76.42899752	0	3.961109743		0.024663715		13.72554898			0.164175162	0.175635307	0.197151885	0.223624962	0.272361212	0.591560779	4.235171154
110		AM02_03	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	54	59.6698463	16.85255915	0.959003996		0		18.03919822			1.460506022	2.014532685	0.904229749	0.04001112	0	0.060109189	0
114		AM02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	5	0	0	44.51417029		0.956464838		1.461082045			4.889279976	5.210150406	5.806199089	6.569106877	7.957592607	9.957588464	12.67835498
113		AM02_03	PM2.5	3.911073142	2.231531534	7.945520442	1.284514162	175	39.91193473	0	0		0		0	43.85414422		10.65738425	5.576534942	0	0	0	0	0
