Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
126		CB01_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	24	72.67949581	0			6.86038062		9.383113682		10.12185514		0.094388443	0.092124345	0.103487191	0.117311475	0.142447732	0.17814337	0.227258867
131		CB01_02	PM2.5	4.134563035	2.294403878	7.574225677	1.104172688	136	70.19735575	0			13.95350397		0.791581348		0		0	4.050335288	10.68526208	0	0.321964733	0	0
132		CB01_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	39	5.268371478	0			5.17504923		0.036189531		0		6.329306215	19.13318634	23.0800271	39.60795701	0	0	1.369906869
133		CB01_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	28	51.75017715	29.51563597			0		7.232233137		5.565184727		2.608992532	0	0	0	0	3.327774629	0
135		CB01_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	16	31.22300506	20.65393925			24.27555472		2.440778352		0.038786884		2.093021385	1.813197881	1.173324976	5.886397511	0	0	10.40199623
138		CB01_02	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	28	61.20890379	17.27318317			6.026374176		0.009597588		3.800364956		0	0	0	4.229689762	4.275393486	3.176498041	0
139		CB01_02	PM2.5	2.011409044	1.600314199	4.96196877	0.974087097	58	47.05477059	9.481924772			1.997887157		0		0.016778936		35.81422269	5.634421483	0	0	0	0	0
137		CB01_02	PM10	6.034227133	2.771825501	9.475745111	1.184118654	265	49.82433021	4.531597719			3.656531498	22.45052159	1.28581021		1.546964329		0	0	0.766807841	0.009181588	6.99326843	8.934995532	0
140		CB01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	40.195328	56.05687499			0.25831305		0.087056321		0.082914071		0.297943875	0.319914706	0.360188889	0.409710128	0.500209862	0.627968693	0.803584699
141		CB01_02	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	22	29.79975343	6.448251754			4.927523807		4.520780966		3.23154442		0	0	0	0	0	51.07215047	0
143		CB01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	39.11290169	47.10523784			12.31195554		0		0		0.13231989	0.141954271	0.159810565	0.181592733	0.221378403	0.277698576	0.355152343
144		CB01_02	PM2.5	2.570133779	1.808976496	5.858353627	1.062638565	132	73.10554385	0			23.26488495		0		3.629574925		0	0	0	0	0	0	0
146		CB01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	20	35.96735597	0			5.377953872		0.04330214		0		0.816567987	39.56302404	16.13509804	0	0	0	2.09669508
145		CB01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	73.33979011	24.38354045			0.020281589		0		0.054691412		0.197363948	0.211988436	0.238808338	0.271678879	0.331793237	0.416677818	0.533379428
147		CB01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	16.81583375	34.45229828			2.883069962		0.10211115		0.045896095		0.809981674	1.879019663	0.183118519	0	0	0	42.82866418
148		CB01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	29	50.25003552	0			0.325554493		9.152708948		0.023084447		18.67225319	0	0	7.837695628	0	13.738662	0
149		CB01_02	PM2.5	3.575838301	2.133752265	6.863488203	1.048339735	109	45.46279907	10.24378464			26.0217011		0		0.535063958		1.801537909	6.928995252	9.006112814	0	0	0	0
151		CB01_02	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	42	89.72179294	0			0		0.012828638		2.274862304		0	0	0	0	1.96362827	6.026885286	0
152		CB01_02	PM2.5	0.782214628	0.997971241	3.508641765	1.252397696	25	25.26607513	13.81431669			5.194380507		0.005431251		5.899371207		4.086247087	13.98010701	13.47166598	14.773646	2.480129525	0	1.028619148
153		CB01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	2	56.24581575	0			0		0.659405533		1.095553208		3.802114353	4.073286057	4.558364674	5.181596801	6.317772716	7.932184637	10.13390794
154		CB01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	25	41.17901623	57.22526908			0		0		0.038804708		0.139755942	0.150050432	0.169020856	0.192194607	0.234565791	0.294472207	0.376846129
155		CB01_02	PM10	13.40939363	4.131993495	16.5699263	1.629379133	422	62.54523396	0			4.63854596	22.70726413	1.115314383		1.900601573		2.527845837	1.460660994	0	0	0	3.10451705	0
156		CB01_02	PM2.5	2.681878726	1.847883667	5.672706244	0.954842168	102	58.69873166	28.33534777			8.584227413		0		1.643248647		0	0	0	0	0	2.738435939	0
157		CB01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	0	0			0		36.01577878		41.43859744		5.799051002	13.85095716	2.02585198	0	0	0	0.86976327
158		CB01_02	PM2.5	0.893959575	1.066876133	3.87993653	1.340051527	41	30.24528921	16.57235026			4.811838642		0		0.006954659		2.144100145	4.661753401	7.933500409	22.2060889	3.128281608	6.792395562	1.497439016
160		CB01_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	44	50.44044852	37.77283132			2.973574772		1.022069901		0		0	0	0	0	6.939732283	0	0.851349439
161		CB01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	91.64747596	0			0		5.654519051		0.14157074		0.229724939	0.246579992	0.277628889	0.315653346	0.38513192	0.483344821	0.618375884
162		CB01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	25	31.37860894	0			11.56786457		0.012720397		1.0582624		2.976236492	0	0	19.27312016	0	33.73319507	0
163		CB01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	31.74348772	59.8770678			6.528326869		0.025052743		0.04467082		0.160200452	0.171913579	0.193562638	0.220010104	0.268331799	0.336691132	0.430691289
164		CB01_02	PM2.5	4.581542823	2.415243569	8.208065488	1.170199778	176	76.1484623	0			10.36644205		0		0		0	0	1.566470601	5.582877621	1.719999872	4.615737125	0
166		CB01_02	PM2.5	1.899664097	1.555225852	5.038866433	1.063601679	90	60.5306983	1.110296138			0	32.62488246	0		4.372083023		0	0	0	0	1.362046134	0	0
168		CB01_02	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	18	50.82660913	42.53852665			0		0.089415902		0.159745745		0.572814653	0.615201937	0.692252256	0.787859689	0.962480903	1.208536327	1.546557434
167		CB01_02	PM2.5	1.005704522	1.131593022	3.508641765	0.974087097	59	40.38307369	20.68760842			0		5.353128538		1.643694378		0	0	7.624163479	0	7.969948649	16.33838415	0
170		CB01_02	PM2.5	3.799328195	2.199421492	7.836770723	1.286345429	110	23.02123457	1.993678138			0		3.854675218		0		5.4854583	8.271034062	6.040262431	0	0.517972512	20.62410116	30.19158542
169		CB01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	20	0.695720734	12.57753372			0.439111283		5.085263029		0.082015392		62.56729364	10.80452725	0	7.748538256	0	0	0
171		CB01_02	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	29	26.40579343	5.682365596			0.95073767		9.0312846		0		0.802946743	0.905903615	0	0	41.68843627	11.24364585	3.288889304
172		CB01_02	PM2.5	1.676174204	1.46088031	4.590674005	1.00051566	50	46.88068926	11.44929528			0		0.064274162		0		0	0	0	0	11.53250784	0	30.07322848
173		CB01_02	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	21	37.52631843	28.08070779			0		12.37361133		0.722987438		8.715376258	11.94071099	0	0	0	0	0.640276587
175		CB01_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	24	0	83.37933421			7.392385602		0.389597309		0.144701602		0.512092141	0.548897358	0.616616011	0.700768316	0.856505334	1.073618419	4.385497048
176		CB01_02	PM2.5	1.899664097	1.555225852	7.836770723	2.572690857	79	96.18811011	0			0		0.055199303		1.358079724		0	0	0	0	0	2.398607694	0
