Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Fe Wt%	Ni Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
51		MG03_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	17	18.09391677	26.92537606	2.279479988		0.139756198	0.133099				30.56998253	0	0	2.445246652	0	19.41314191	0
52		MG03_02	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	71	36.1594528	15.06046504	0		6.08381182	1.032990776				9.707453102	14.1268909	10.87066606	0	0	0.533728441	6.424536556
53		MG03_02	PM10	58.77784207	8.650911679	34.2537369	1.588519	1531	43.83492768	0	0.028313466	12.06308603	0.536285201	0.366680906	40.72617888			0	0	2.444527671	0	0	0	0
54		MG03_02	PM2.5	2.793623673	1.88598837	6.492193438	1.200618792	101	74.99926686	0	9.095011652		3.820225969	10.10175794				0	0	0	0	0	1.983734779	0
56		MG03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	6	79.22731638	0	0		0.046543957	0.081016496				3.215178475	2.677103691	0	4.559296742	0	0	10.19354016
57		MG03_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	26	33.88634026	0	46.57412469		1.383146923	0.027629343				0	0	6.985156983	0	3.327869996	5.48918806	2.326542139
60		MG03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	91.84051156	0	5.191295221		0	0.072085962				0.259711244	0.278930715	0.314141111	0.357384491	0.436443137	0.548041705	0.701455353
58		MG03_02	PM2.5	3.911073142	2.231531534	9.629540438	1.886710736	142	46.1260587	7.240534574	1.641209237	26.53209865	0	2.179040946				0	0	2.406518161	0.176472135	2.522108704	0	11.17596403
59		MG03_02	PM10	6.928186708	2.970057456	10.44902763	1.254071529	268	46.80472016	9.174284339	9.404967725	20.39321959	0	0.838580728				6.569287926	0.532909995	0	0	0	4.581710696	1.700317673
62		MG03_02	PM2.5	2.234898938	1.68687928	5.595808581	1.114956559	109	46.55277729	18.6183542	0		6.562678516	1.489080954				3.02980952	4.421418533	0	0	0	19.32588369	0
63		MG03_02	PM2.5	0.782214628	0.997971241	3.508641765	1.252397696	39	23.85985106	0	13.55367601		15.00837803	0.377877825				0	26.43306851	18.11885983	0	1.347561087	0.140362326	1.160361432
64		MG03_02	PM2.5	2.346643885	1.728536893	6.940385866	1.633466308	124	39.68209326	30.49610257	7.063052803		0.973845925	9.989780188				6.863832474	4.931285977	0	0	0	0	0
70		MG03_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	24	33.72035027	0	4.781579971		0	0				0	0	0	0	2.192500979	2.403709665	56.90186024
68		MG03_02	PM10	8.492615965	3.288333086	11.6848552	1.279367517	283	71.63518667	0	0		1.996875741	4.538565502				0	0	0	13.18467557	0	8.644696325	0
71		MG03_02	PM2.5	1.45268431	1.360005555	4.142481576	0.940026423	57	42.4782604	0	1.742734388		0.23594643	12.36970648				16.54581875	11.70708388	0	1.209271792	0	0	13.71116936
72		MG03_02	PM2.5	0.893959575	1.066876133	3.956834194	1.393695698	48	56.39771223	0	0		0	10.68776846				0	0	0	32.91452229	0	0	0
73		MG03_02	PM2.5	2.570133779	1.808976496	6.831636147	1.445053287	134	55.86628318	22.03754932	12.31643483		0	6.885264814				1.422104891	0	0	0	0	1.472362783	0
74		MG03_02	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	21	1.160462666	0	6.800230592		0	0.020043954				0	0	1.500813849	0	1.647507027	9.873117507	78.99782658
75		MG03_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	31	47.55230844	0	0		0.008507279	0.013711015				2.089988627	2.450137213	0	0	24.68228787	23.20306897	0
76		MG03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	28	68.37088466	16.79780483	13.27563077		0.021023683	0.037535507				0.134650304	0.144489924	0.162696315	0.184910558	0.225499202	0.282938126	0.361928041
78		MG03_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	52	74.62658882	0	5.266728625		0	8.308815211				0	0	6.85524866	0	0	4.942619056	0
79		MG03_02	PM2.5	1.005704522	1.131593022	4.142481576	1.357815944	44	53.00163031	0	36.96664572		0.02346827	0.039783405				1.563111134	1.300642826	0	2.212746441	0	0	4.891972616
80		MG03_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	30	59.24595594	0	4.616024718		0.009381392	1.838634349				28.78117859	0	0	5.508831888	0	0	0
81		MG03_02	PM2.5	0.782214628	0.997971241	3.956834194	1.592795084	44	54.83483672	7.698711008	0		0	6.170526519				4.409115762	26.88681185	0	0	0	0	0
83		MG03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	0	0	15.33377171		37.12120056	0.070744491				0	0	13.0950734	0	0	34.37921405	0
82		MG03_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	45	16.80775136	0.26119356	22.80908376		0.013144316	0.020343706				0	0	0	46.74476981	13.34371269	0	0
84		MG03_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	41	56.89570308	0	20.19845247		0.500587653	0				0	0	5.464442819	1.945678331	8.49443078	6.244734675	0.255976594
86		MG03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	64.46356773	15.6998381	1.940639317		16.22549742	0.041610937				0.147381891	0.157893461	0.177550502	0.2015098	0.24517423	0.307086552	0.392246805
87		MG03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	1.071284059	0	1.519614831		0	0.015058223				0	22.03691304	13.1854564	0	43.20908189	13.14888746	5.813692138
85		MG03_02	PM2.5	4.134563035	2.294403878	8.547508198	1.406175641	184	42.38590002	14.01112229	18.47086847		0.296723447	6.649049371				0	2.969289199	9.725766629	2.057141811	0.531662535	0.023313935	2.879160084
88		MG03_02	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	15	0	45.05673051	7.137808949		0.042542815	44.3746388				0.456154346	0.320182694	0.357538136	0.403165119	0.485211099	0.602377439	0.763638737
89		MG03_02	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	78	55.06626964	3.932655975	5.263163894		0.362363714	2.787761204				2.376000956	20.84939182	8.632547408	0	0	0	0.729843322
90		MG03_02	PM2.5	1.117449469	1.192803778	4.405026622	1.381844955	52	7.765669376	9.19289887	14.92530107		3.403453529	8.937761188				33.42636228	0	0	5.368855596	14.24892992	0	2.730758674
91		MG03_02	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	88	36.69891655	0	6.650398672		0	0				8.145079762	14.32105154	23.89467955	0.700230524	4.63357605	0.209928816	4.74614352
93		MG03_02	PM2.5	0.670469681	0.923941834	3.956834194	1.858260931	31	85.31454802	0	13.76506835		0.012346897	0.022158817				0.079640991	0.085470325	0.096266426	0.109409937	0.133433228	0.167443813	0.214219908
92		MG03_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	14	8.661827445	38.25923204	7.838395238		0.13944665	0.06292988				0	0	0	18.99699122	26.04118288	0	0
94		MG03_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	8	34.58463848	0	0		0.097717671	0.155924354				15.85829109	42.62059927	5.508728325	0	0	1.174100861	0
97		MG03_02	PM2.5	2.346643885	1.728536893	5.410161198	0.992575059	119	19.47375983	13.05930465	0.919323321		0.28041862	3.271329403				11.4629142	11.82487085	0	0	0	16.24934971	23.45872372
98		MG03_02	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	46	21.88851386	14.18816	8.298864961		0.164305314	0				13.75279725	35.69670022	6.010647863	0	0	0	0
99		MG03_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	19	43.09518039	52.40582824	0		3.564229235	0.022844324				0.082018937	0.088011642	0.099117565	0.112639344	0.137348718	0.172333629	0.220449129
