Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
31		BU02_02	PM10	7.151676602	3.017581393	18.59338901	3.846797984	315	79.28463817	0	0		0	0		0	1.69944521	7.458537817	0	1.48758702	0	10.06980464
35		BU02_02	PM2.5	1.78791915	1.508790696	5.487058862	1.340051527	54	49.98834729	0	0		0.646096328	0.690199994		31.256935	14.66701925	0	2.751400694	0	0	0
36		BU02_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	45	0	0	6.65301308		0.212110905	57.81760812		6.277296692	2.68712882	0.864084065	21.6423288	0	0	3.846424818
38		BU02_02	PM10	51.17918568	8.072382739	28.76667804	1.286696708	1456	53.28465104	2.975177392	19.28374767	20.84859312	0	0		0	0	0	0	2.215781994	1.392045058	0
40		BU02_02	PM10	6.034227133	2.771825501	9.552642774	1.20341538	178	79.95212078	0	0		0	1.203902718		0	0	2.113377303	0	0	5.433045328	11.29755676
46		BU02_02	PM10	10.05704522	3.578411335	13.17003426	1.372440554	313	42.30116606	0	3.61190401	20.22930831	1.723476686	0.70924894	18.42385828	0	0	1.380520314	0.82717184	3.032292053	2.524603531	5.236456916
45		BU02_02	PM10	16.2030173	4.542061467	27.28149898	3.65536457	409	73.46093059	0	0		3.612878546	1.751378551		0	0	3.651914373	7.288705558	7.194574922	0	3.039615974
47		BU02_02	PM2.5	1.45268431	1.360005555	4.142481576	0.940026423	62	24.63907748	5.702338368	3.805343434		0	0.460292678		0	0	5.251628906	6.238878518	1.676743291	29.02843058	23.19727093
51		BU02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	3.430208936	0	25.30606687		0.023908455	0.0363192		20.99812776	36.23519242	0	0	6.902222335	4.831352457	2.236592025
49		BU02_02	PM10	9.38657554	3.457073787	13.88077173	1.633466308	300	44.72977519	9.896259755	0.15007311	40.82586765	0	1.181845553		0	0	2.029225044	0.095888076	1.091074571	0	0
52		BU02_02	PM10	34.64093354	6.641250368	24.14415198	1.339135309	1054	40.8043921	4.507622868	3.345413134		0	1.593836583		5.302307382	16.59930944	10.23458466	5.224333331	1.305717509	0.843580067	10.23889855
53		BU02_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	17	93.18553209	0	0		0.019308354	5.352800712		0.129796995	0.13926347	0.156800041	0.178181287	0.21723744	0.272525055	0.348558044
57		BU02_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	57	35.53824425	26.51567757	16.42306		0.010214665	12.58921176		0	1.835552976	3.612371907	0	2.592453174	0	0.883213989
59		BU02_02	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	45	59.81461406	0	36.74653769		0.26191317	0		3.176927567	0	0	0	0	0	0
60		BU02_02	PM10	6.592951867	2.89731031	11.34541249	1.553641493	301	26.3816148	6.71441406	0	45.11281252	1.181142032	0.653363159		0	0	0	0	0	5.470754579	14.48589861
62		BU02_02	PM10	16.31476225	4.557696837	16.49302864	1.326814512	589	61.28268838	1.137025934	6.862166524	21.40169591	0.449940516	2.455420606		0	2.59203203	0	0	0	3.819037601	0
63		BU02_02	PM2.5	2.681878726	1.847883667	9.629540438	2.751453156	103	34.3393147	21.05681896	2.859732322		4.261481762	13.52484524		0	0	17.4924165	6.405724585	0	0.059673493	0
61		BU02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	33	97.3039031	0	0.337740523		0.027619707	0.293180416		0.18254224	0.196100748	0.22094748	0.251389528	0.307076331	0.385699864	0.493795611
64		BU02_02	PM10	9.163085646	3.415670212	15.30224668	2.033568414	296	53.2202065	0.729936082	3.606496379		0	0		7.485549152	2.564225532	0	4.319821671	0	0	28.07376683
65		BU02_02	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	62	56.5746367	14.82088715	1.693977416		0	11.05115339		0.205563335	0	0	0	0	6.027380377	9.62639451
66		BU02_02	PM2.5	0.446979788	0.754395348	2.874801954	1.471357183	35	56.62366152	15.96632004	21.38154805		2.870197967	0		0	0.26440972	0.969874486	0.337758684	0.411260966	0.515743764	0.659224205
67		BU02_02	PM2.5	1.340939363	1.306651072	4.328128958	1.111684066	42	44.52528358	1.020303555	23.21083248		0	15.27511925		0	0	12.34754026	0	3.62092033	0	0
