Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
17		BU03_01	PM10	7.375166496	3.06436839	11.82545697	1.508878156	237	52.39414573	0	13.46321255		0.55677006		6.284080446			0.414704066	1.332197618	0	0	0	10.93372703	14.62115794
20		BU03_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	22	57.05753565	21.1285904	19.88024861		0.021969505		0.038734503			0	0	0	0	0	1.872923598	0
21		BU03_01	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	41	49.25663173	0	0		5.050003156		7.508793473			1.22940531	4.500589147	2.842540108	0	0	16.11641347	13.49562407
23		BU03_01	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	54	3.142208979	21.12011611	47.71302938		0		10.58524475			0	0	0	0	4.313164577	13.12623322	0
22		BU03_01	PM2.5	1.117449469	1.192803778	4.21937924	1.267825159	28	0	0	62.02458739		3.980867192		0.069622276			5.800246447	14.43022192	5.69675751	1.898545027	0	6.099159271	0
16		BU03_01	PM2.5	4.581542823	2.415243569	7.651123341	1.016784207	232	34.75566506	0	11.2688221	37.81064749	0		9.302126616			0	0	1.641254872	0.462481612	1.938680932	2.820322663	0
24		BU03_01	PM2.5	0.782214628	0.997971241	3.694289147	1.388436336	32	46.00801468	30.07960618	1.632994227		1.220819727		0.014851839			0	0	0	0	0	21.04370892	0
28		BU03_01	PM2.5	3.352348407	2.065996747	8.579360253	1.747232892	143	40.70335329	15.10477662	24.22759831		5.522531644		2.469580621			0	0	0.376741705	0	0	0	11.59541383
27		BU03_01	PM2.5	2.234898938	1.68687928	5.224513816	0.971905435	95	39.05310333	8.17868337	3.520011157		7.706429809		0.062585226			3.926653042	0	0	0	0	28.91879678	8.633740246
29		BU03_01	PM2.5	4.469797876	2.385607556	8.547508198	1.300712468	166	64.21496868	0	4.128820449		4.575542733		9.459488094			1.805088669	15.81609249	0	0	0	0	0
31		BU03_01	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	36	50.11816621	17.2151193	5.245568976		9.35664922		0			0.311214733	0.736921001	0.07105734	0	0	0	16.94529653
