Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
79		PD03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	22	45.90400755	27.43517458		24.89238083			0.024665814	0.043113533		0.15347458	0.164536096	0.185122062	0.210235943	0.256059133	0.320973899	0.410253508
80		PD03_01	PM2.5	1.676174204	1.46088031	5.038866433	1.205415236	84	66.2697494	0		0			4.502963647	25.8875072		0.072214089	0.574092194	0	0	0	2.693474106	0
81		PD03_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	17	32.70645142	4.686132818		0			0.062556146	0.100004056		27.98018754	18.92136484	0	0.750281895	0	14.79302496	0
82		PD03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	67.62485504	29.75318432		0.068102789			0.03374932	0.061145134		0.220472063	0.236796471	0.266724266	0.30343507	0.370562449	0.465337327	0.595631078
83		PD03_01	PM2.5	1.899664097	1.555225852	5.224513816	1.143418159	68	56.33984208	43.29112172		0			0	0		0	0.369043718	0	0	0	0	0
84		PD03_01	PM10	15.75603751	4.478974216	17.54320882	1.554394303	462	68.39793324	0		2.656651475			0.176239852	0		5.885474756	3.345021978	5.307073519	7.816675305	3.325954452	0	3.088957071
85		PD03_01	PM2.5	4.246307982	2.325202624	8.918802963	1.490705263	136	31.19330704	3.896861896		11.35879681			2.36701183	0.369790359		0	4.871314019	5.723988637	0	1.609003171	1.268841978	37.34108508
86		PD03_01	PM2.5	2.234898938	1.68687928	5.410161198	1.042203812	78	33.67651701	9.463746101		1.312921289			2.135056816	0.003333204		0	0	2.58657597	2.326846868	0.704476936	8.07357952	39.7169441
87		PD03_01	PM2.5	1.340939363	1.306651072	6.120898673	2.223368133	69	45.71463168	12.57251799		8.674541116			0.007571163	0.012595321		0	0	1.216324884	10.71475968	11.40620336	6.982078403	2.6987819
88		PD03_01	PM2.5	2.234898938	1.68687928	7.126033249	1.808122854	86	55.51277995	0		0.20228175			0.368126389	15.48499912		0	0	0	20.47743201	0	7.954382151	0
