Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
113		BU02_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	39	0	0	0.177591969			0	26.18670762			0	0	23.89123291	14.25642222	0	2.296240628	33.19180012
114		BU02_03	PM2.5	1.564429257	1.411344463	7.542373622	2.893678589	84	63.78278732	0	10.5432719			0.009204319	5.014586449			0	5.145982653	14.72559273	0.778570212	0	0	0
115		BU02_03	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	45	31.5654397	31.65369034	0.298627396			0.526201259	0			6.30498752	2.461952157	0	0	0	26.205495	0.983604603
116		BU02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	26	77.35779881	0	6.282638013			0.012445261	15.47178626			0	0	0	0.699683372	0	0.175648928	0
118		BU02_03	PM10	9.498320487	3.477590725	13.24693192	1.470191561	258	42.5403446	0	22.80132771			0	0.265225698			0	0	3.299773857	4.125552997	6.498811394	13.143076	7.325886935
117		BU02_03	PM2.5	3.017113566	1.959976608	7.01728353	1.298782795	59	20.65690756	7.283768803	15.74679613			0	8.717873693			0.301777106	0	0	0	0	9.413642436	37.87923753
120		BU02_03	PM10	5.363757451	2.613302144	10.0008352	1.483862115	176	53.64607573	0	13.4677127			0	10.55032536			3.952850774	0	0	4.015100375	14.36794251	0	0
119		BU02_03	PM2.5	3.128858513	1.995942481	6.492193438	1.071981064	139	67.21819639	9.457547218	15.91837108			0	2.455697395			3.402935341	0	0	0	1.547246985	0	0
122		BU02_03	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	37	60.02256274	0	1.093395334			17.37143099	0			8.422651887	0	0	0	2.093405463	10.99655852	0
125		BU02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	20	84.73563194	0	12.66761422			0.034955482	0.062566274			0.224583945	0.241059694	0.271413173	0.308586704	0.376512879	0.472529978	0.604544114
124		BU02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	39	18.76154542	0	0			0.011488952	2.207737602			0.339724822	1.843534969	3.646327555	3.729055077	0	58.50795507	10.95263287
126		BU02_03	PM2.5	4.358052929	2.35559872	9.181348009	1.539254861	119	76.12489462	0.422730111	0			0	7.985699922			0	0	0	0	0	10.08346453	5.383206531
127		BU02_03	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	27	95.48242688	0	0			0.657309126	0.05299027			0.788764935	0.679258909	0	0.645875838	0	0	1.693375222
128		BU02_03	PM10	7.486911443	3.087496027	10.37212997	1.143466221	217	45.84595263	18.02549809	2.325515635	21.30766958		0.467653852	0.417346554			0	2.624995448	0	0	0	2.090978436	6.894381344
130		BU02_03	PM10	8.716105859	3.331319657	13.1381822	1.575934636	302	47.33353555	2.416782826	3.667651117	22.26449251		0.300464313	0.199555396			0	0	0.444786996	0	9.124781936	0	14.24793899
129		BU02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	15	47.73541391	47.52492607	0			0.04534593	0			1.220160909	0.819630362	0.35363934	0.402207393	0.49141692	0.61730626	0.789958332
133		BU02_03	PM2.5	2.011409044	1.600314199	5.333263534	1.125319451	66	0	0	23.64603281			0	0			8.12709108	48.40728343	17.61006564	0	0	0	2.209524624
131		BU02_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	21	34.54658389	14.35844004	11.08351648			0.015502945	0.025309436			2.757892385	6.904516369	0.456421217	0	21.43320143	0	8.418611437
139		BU02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	55.76259494	29.82448041	7.761329412			6.651603431	0			0	0	0	0	0	0	0
141		BU02_03	PM10	6.369461974	2.847779989	10.26338025	1.316037382	189	31.93072677	20.37932128	11.63995117			0.591266854	0.426939782			0	9.297086298	0	0	0	25.73470175	0
