Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
74		WN03_03	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	57	0	29.71588075		65.03686309		0		2.305520698	0.26873243	0.28714377	0.322107109	0.364818517	0.442334032	0.552517455	0.704091741
73		WN03_03	PM2.5	1.45268431	1.360005555	4.590674005	1.154441146	77	43.97437274	14.21070397		3.55159007		1.907800511		0.518393517	2.040363848	3.277999163	0	0.484649884	21.68097645	5.632268265	2.720882185
75		WN03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	73.8167882	0		0		0.371968909		0.641364604	2.263921686	2.430003881	2.726348303	3.103730828	3.791798651	4.76264134	6.091431156
76		WN03_03	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	62	16.10860378	35.87103784		9.888228029		0		0.029946753	0	0	0	17.73072183	20.37145346	0	0
77		WN03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	0	68.80662441		1.692932658		0.148946373		13.65301162	2.102110907	4.623825848	1.675686054	1.283859741	1.559557207	1.956942864	2.496504039
78		WN03_03	PM2.5	0.558724735	0.84343964	3.060449336	1.33402088	27	0	1.985468157		0		12.49931157		0.149523804	0	9.399587661	0	0	53.75621319	17.5781548	4.631744698
84		WN03_03	PM2.5	3.352348407	2.065996747	6.492193438	1.00051566	98	28.20563912	39.01215494		3.043851443		2.214145288		0	0.081596046	3.944536671	5.79295978	0	0	14.75257725	2.952539548
80		WN03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	37.72892952	0		13.90506923		0.015846737		0.025509222	0	0	0	48.32464159	0	0	0
83		WN03_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	46	64.04492259	0		3.381771967		24.37327504		0.171499909	5.744094029	2.284426242	0	0	0	0	0
82		WN03_03	PM2.5	1.229194416	1.251023157	5.595808581	2.027193743	68	85.14991403	0		11.36169806		0		0.03485294	0.541059347	0.481942669	0	0.462224893	0	0	1.968306676
85		WN03_03	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	39	31.68836534	16.92515165		8.793710917		0		0	0	0	28.93283069	12.92275935	0	0	0.737172831
86		WN03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	72.48337269	0		0		0.053725298		0.092538545	4.696395248	15.669927	7.004050165	0	0	0	0
88		WN03_03	PM2.5	3.464093354	2.100147767	8.284963152	1.576818516	143	37.24379539	0		3.983834013		0.375011191		0	0.55111777	0.439525722	0	0	0	0	57.40670562
