Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
101		OC01_01	PM2.5	3.575838301	2.133752265	7.913668387	1.393695698	153	59.53473449	0	21.88500315		0		1.051315013	0	0	0	0	0	4.681635275	12.8473103
102		OC01_01	PM2.5	3.687583248	2.166835669	7.651123341	1.263277348	109	41.42543674	1.885042153	11.09147891		0		1.257521473	0	0	0.89451354	2.904863097	0	22.9015246	17.63961464
103		OC01_01	PM2.5	3.017113566	1.959976608	7.279828576	1.397786314	101	25.20025969	25.8531034	0		7.45638907		0	0	0	0	24.73765165	0	16.75259769	0
104		OC01_01	PM2.5	3.128858513	1.995942481	9.520790719	2.305421021	106	86.76294088	0	1.560046244		0.005782036		0.010255595	0	0	0	0	2.212149464	9.448827803	0
105		OC01_01	PM10	20.44932528	5.102635556	18.8427405	1.381653963	870	46.52380943	0	1.493444107	35.59373021	0		1.312974282	1.58528313	3.138306737	3.380766511	5.810787901	1.160892379	0	0
106		OC01_01	PM10	11.39798458	3.809509772	13.9576694	1.360153381	471	49.00462329	4.319222644	0	40.90332985	0.354474899		0	2.483406477	0	0	0.64828312	0	2.286661044	0
107		OC01_01	PM2.5	3.911073142	2.231531534	6.940385866	0.980079785	138	27.92915106	1.100477483	11.71922013	16.95998311	1.816367172		0.042958284	2.567367814	2.437838167	0	0	0	6.411580741	29.01505828
108		OC01_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	19	0.328088109	86.66185141	4.314694181		0.144018442		0.211153924	0.750711095	0.805466902	0.905470271	1.029730868	1.256456319	1.576455869	2.015917189
109		OC01_01	PM2.5	2.681878726	1.847883667	6.120898673	1.111684066	66	39.74817991	0	1.503497176		0		0.012984635	6.186107546	8.697894961	23.49597961	4.841741174	13.73781413	0	1.775794476
110		OC01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	72.56985307	0	9.878479689		0		3.28040868	0	0	0	0	0	14.2712608	0
111		OC01_01	PM10	8.604360912	3.309896157	11.45416221	1.213383753	350	37.98753023	1.834322512	3.296696022	40.77818692	0.250238949		0	0	2.395650186	8.29212442	3.257404268	0	1.508140378	0.39970302
112		OC01_01	PM2.5	2.123153991	1.644166543	5.858353627	1.286351947	68	43.94676387	24.10212457	18.51477921		0		0.009588524	9.005644917	4.421093687	0	0	0	0	0
113		OC01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	3	64.46957588	0	0		0.520873861		0.880410708	3.079920821	3.30269821	3.700418025	4.209563881	5.137701333	6.451807171	8.247029036
115		OC01_01	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	21	13.52285147	10.95818281	19.10074055		0		6.007099524	4.61451076	7.851774991	9.512121975	0	0	0	28.43271196
116		OC01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	32	29.06140089	0	1.989735849		1.36356866		0.00897777	0	0	18.21525693	37.76281774	9.567411989	1.074491069	0.956330262
117		OC01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	4	0	4.924741387	0.12972689		0.10554113		0.155260495	0	0	0	94.68473196	0	0	0
118		OC01_01	PM2.5	3.128858513	1.995942481	7.651123341	1.488862589	65	2.285197005	4.231423512	25.47393143		2.865329757		3.023581952	17.52788126	31.18089736	2.646954358	0	6.719491631	2.083130553	1.962178946
119		OC01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	5	67.0080781	0	0		0.479557458		0.814924575	2.857810259	3.065361641	3.435765579	3.909338638	4.772650078	5.993741751	7.662759721
120		OC01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	16.10141695	1.317380462	11.35832444		0.017543147		0.027280312	38.96975517	29.73401546	0	2.474282123	0	0	0
121		OC01_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	20	69.16915178	0	4.638348147		0.022902165		0.039177047	0	0	0	26.13042593	0	0	0
122		OC01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	31	14.18862045	0	2.861143462		0		21.09903246	0	0	25.52028894	0	33.97218585	0	2.358740941
123		OC01_01	PM2.5	2.346643885	1.728536893	5.672706244	1.091248192	37	77.43015289	0	5.499139801		0		16.07208699	0	0	0.134414842	0.152392325	0.185065798	0.231450144	0.295293843
124		OC01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	23	54.73916531	0	6.988959759		7.784103602		12.59842664	0	0	0	0	0	17.88933426	0
125		OC01_01	PM2.5	0.893959575	1.066876133	3.322994383	0.982950097	45	31.68822825	0	22.95984328		0.045093129		0	0	0	45.30684352	0	0	0	0
126		OC01_01	PM2.5	1.340939363	1.306651072	4.328128958	1.111684066	60	0	14.66346979	43.76317561		0		41.57335162	0	0	0	0	0	0	0
128		OC01_01	PM2.5	2.681878726	1.847883667	6.044001009	1.083927057	85	53.15495133	0	1.333678421		0		0	0	0	7.540950924	0.138289388	6.370488554	0	31.46163523
129		OC01_01	PM2.5	2.90536862	1.923338301	11.49920782	3.621802298	89	36.58176959	24.97514188	0		0.543579087		2.980249003	1.003992744	8.383853734	0	25.53141713	0	0	0
130		OC01_01	PM2.5	3.352348407	2.065996747	6.492193438	1.00051566	86	0	18.42452437	11.17231697		9.609035403		0	44.79738474	10.53590924	0	5.460823327	0	0	0
131		OC01_01	PM2.5	3.017113566	1.959976608	6.306546055	1.049014815	115	29.92947698	0	0		0		1.222407166	11.73444018	10.57871804	4.068022594	0	0	30.90542257	11.56151146
132		OC01_01	PM2.5	0.893959575	1.066876133	3.956834194	1.393695698	47	31.18378818	37.20120788	0		3.087889962		0.445221318	0	0.514712278	0	0	27.56718397	0	0
133		OC01_01	PM2.5	0.670469681	0.923941834	3.322994383	1.310600129	40	89.63445425	0	0.802362431		0.232169614		0.106250925	1.242960431	1.130195055	0	1.091561466	0	0	5.760049075
134		OC01_01	PM2.5	1.45268431	1.360005555	5.410161198	1.60339048	73	66.8526113	0	31.95260763		0		0	0.257561356	0.177743507	0.101738668	0.115508318	0.140651152	0.176287431	0.22528863
135		OC01_01	PM2.5	1.117449469	1.192803778	3.956834194	1.114956559	58	68.23137999	0	23.68513942		5.662797391		0	0.218821224	0.234487187	0.263690995	0.299367448	0.364411296	0.456578238	0.583330728
136		OC01_01	PM2.5	0.558724735	0.84343964	3.508641765	1.753356774	28	49.90211129	0	0.097897649		0.071418728		0	0	0	31.47851825	0	5.612901971	7.926598936	4.910551384
137		OC01_01	PM2.5	3.017113566	1.959976608	7.202930912	1.368412324	124	64.1397953	0	10.79332978		1.801757887		0	0	0	0	9.160181135	14.10493106	0	0
138		OC01_01	PM2.5	1.45268431	1.360005555	7.433623903	3.02705324	92	37.2047931	12.98613101	0.712498836		0.003862802		4.05751951	3.174164146	3.289726749	0	0	13.7030229	20.94769031	3.920600191
140		OC01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	22	46.04649842	0	3.631054237		0.022434979		0	0.46911356	1.693256572	0.993001275	0.161384617	0	0	46.9832629
143		OC01_01	PM10	11.50972953	3.828138293	13.9576694	1.346948008	455	47.92070091	6.329110265	1.637656055	30.19280732	0.974544231		0.471543334	0	4.929448292	1.461556926	1.850352623	0	4.232289642	0
144		OC01_01	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	66	30.9958607	0	0		0.030518582		8.514353633	0	0.717343763	1.189847477	0.252685742	0	48.373878	9.925507009
146		OC01_01	PM2.5	2.011409044	1.600314199	5.224513816	1.079894928	58	17.11371094	15.71911424	2.117563784		0		0	0	0	0.097475777	0	2.425665781	2.660315484	59.86616015
147		OC01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	88.81078959	0	8.88999626		0.030650108		0.055221946	0.198698882	0.213333266	0.240259292	0.273222034	0.333478185	0.418631872	0.5357116
148		OC01_01	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	53	10.17142981	3.790310025	18.70000213		4.996198788		3.910951316	6.314418465	13.36404383	11.99468002	25.82864761	0	0.929322932	0
149		OC01_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	39	53.92063856	0	0		0.010685575		24.38788563	1.492117438	1.362372469	4.156924039	7.104572654	7.382041216	0	0.182762532
150		OC01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	30	27.96173394	23.03862423	0.195723725		0		0.358009082	7.38896057	0	0	40.25126994	0	0.805669278	0
151		OC01_01	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	58	43.42600405	0	3.716520593		1.632766426		9.087960422	16.65184349	0	0	25.48491061	0	0	0
152		OC01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	0	0	0		0.018478659		0.027336419	26.40837133	73.54581356	0	0	0	0	0
153		OC01_01	PM2.5	2.458388832	1.769213915	6.831636147	1.510737527	100	47.28103578	0	0		1.214618795		2.114014328	5.215323716	0	7.204149663	4.44885008	22.8446424	6.709317863	2.968050539
154		OC01_01	PM2.5	0.893959575	1.066876133	3.694289147	1.214881794	19	90.90589881	0	0.047033772		0.030758124		7.100561261	0.17264284	0.185163645	0.208394066	0.236745132	0.288497843	0.361773768	0.462540938
155		OC01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	15	46.16174698	2.539982088	27.75588632		0.035097817		0.058108178	0	0.213720184	0.986787491	0.271569635	1.253940165	3.55302617	17.17014313
156		OC01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	27	78.35043073	0	1.847985759		10.16886532		2.239213139	0	1.177130919	2.074585296	0	4.141785949	0	0
157		OC01_01	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	58	17.80275404	0	2.175907791		0.408088649		0.004479272	0	14.73653764	6.464758515	0	0.36420587	5.692315474	52.35096812
158		OC01_01	PM2.5	2.011409044	1.600314199	5.749603908	1.307873052	46	17.17439294	18.40353161	5.415390432		0.19131928		0.029682688	0	0	0	6.525794417	26.8923372	25.36755204	0
159		OC01_01	PM10	21.11979496	5.18561068	17.72885621	1.184300393	825	52.67096162	0	1.836838573	41.30530655	0		0.756131019	0	0	0	1.341219898	0.669151172	0	1.420387719
160		OC01_01	PM2.5	2.90536862	1.923338301	6.492193438	1.154441146	80	40.47327042	16.11311287	24.71763492		4.812856391		0	7.744378597	0	0	0	0	0	6.138752401
161		OC01_01	PM10	10.50402501	3.657067134	12.24179735	1.135336919	378	61.03309989	0	7.144080102	15.35850912	0	8.714687079	3.986086696	0	0	0	3.763538972	0	0	0
162		OC01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	7	84.82195139	0	6.012234464		5.491054431		0.090211903	0.322563061	0.346098724	0.389478193	0.442724815	0.539951446	0.677395472	0.866338611
163		OC01_01	PM2.5	2.011409044	1.600314199	4.96196877	0.974087097	67	51.10272169	0	7.609153539		0		1.627632976	10.51450223	29.14599478	0	0	0	0	0
164		OC01_01	PM2.5	4.581542823	2.415243569	8.470610535	1.246257583	157	14.16269839	12.4215126	21.13301307		0.194443751		1.657173969	1.820378006	9.701983631	10.64584926	2.860973217	0	0	25.40197968
166		OC01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	7.117046416	6.200320274	13.28784674		0		0.079817761	0	0	0	0	0	73.31497073	0
167		OC01_01	PM2.5	2.90536862	1.923338301	9.629540438	2.539802913	93	31.88084066	1.566548832	0		0		0	26.87913775	31.4381659	1.968131773	1.591363735	0	2.109478787	2.56633535
168		OC01_01	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	24	0	84.29136276	0		10.40786281		0	0.479253288	0.513550639	0.577170402	0.655417424	0.79803206	0.999931619	1.277414989
