Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
17		CS03_01	PM10	6.369461974	2.847779989	13.88077173	2.407213507	245	67.77737737	0		10.65171659		7.803238183		0.346993026		0	0	0	0	0	8.933352679	4.487321898
15		CS03_01	PM10	34.86442343	6.662639313	24.80984385	1.404933312	1053	45.28731704	2.768636122		10.44257805	17.96972156	1.629960909	6.857810915	0.129175722		0	4.385125637	5.939269066	4.590405151	0	0	0
16		CS03_01	PM2.5	2.570133779	1.808976496	5.858353627	1.062638565	119	0	36.26990318		0		20.41813433		19.16712672		0	0	5.211243778	17.45105535	0	0	1.482534036
18		CS03_01	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	11	45.28222084	37.26136088		0.340823177		0.113756419		0.197924697		0.698607601	0	0.851280149	1.217110083	12.56266534	1.474259421	0
20		CS03_01	PM2.5	1.78791915	1.508790696	5.224513816	1.214881794	77	1.68846827	15.39514363		4.76106666		20.433411		0.214832206		7.608153671	9.185796231	7.951907068	0	20.9244743	11.83674112	0
21		CS03_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	45	48.84592593	0		12.25165948		0		0		0	8.067491651	0.744871609	30.09005487	0	0	0
19		CS03_01	PM10	9.610065434	3.497987327	11.79360492	1.151746606	250	18.87459904	0.276776869	24.38813895	0.017634415		37.80370057		0.632578228		0	0	5.714819208	0	3.907297924	8.384460211	0
23		CS03_01	PM2.5	4.469797876	2.385607556	8.810053244	1.381844955	150	30.24365604	1.341431215	23.64836186	0.058890617		24.4811222		0		0	0	0	0	0	16.4651677	3.76136452
24		CS03_01	PM2.5	4.246307982	2.325202624	7.388578295	1.023058353	143	71.91684246	4.963650554		7.49220252		8.878003806		0.114159822		0	0	0	6.635143608	0	0	0
25		CS03_01	PM2.5	3.24060346	2.03127164	6.492193438	1.0350162	115	16.26538187	0	44.89803016	0		34.87685919		0		0	0	0	0	3.959720209	0	0
26		CS03_01	PM10	6.034227133	2.771825501	9.181348009	1.111684066	205	35.9980315	4.712473229	24.5025903	0		20.34662366		1.98539719		0	0	6.444676965	2.95543354	0	0	3.054757789
28		CS03_01	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	51	32.96170235	31.85276687		0.763775175		19.78229582		1.523019839		0.228166417	0.49898224	0.159790833	0.047699997	0	0	12.18179762
27		CS03_01	PM2.5	1.340939363	1.306651072	4.065583912	0.980904789	32	28.56143713	0.567560317		0		5.184588954		0.011440396		3.906838223	9.512886405	15.08208215	34.87345874	2.193708159	0	0.105992472
30		CS03_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	42	15.05187005	24.8243168		0		33.40546489		0.014272037		0	0	0	26.70407891	0	0	0
