Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
69		OC01_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	33	77.04650164	0		0			8.358895779		0.178391382				0	0	6.083176285	0	2.302869782	4.587304592	1.442860998
71		OC01_02	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	54	97.84091115	0		0.87541528			0.01673456		0.0306136				0.110771751	0.118992571	0.134102395	0.152548403	0.186301745	0.23400425	0.299597764
73		OC01_02	PM10	5.810737239	2.72001111	8.918802963	1.089361538	193	43.35143268	0		25.89030862			0.681576133		2.285265177				0	4.4263836	6.806972623	9.008984268	1.185632963	6.338924915	0.024513295
72		OC01_02	PM10	60.11878143	8.749034798	42.58374566	2.40031194	1460	49.03289974	11.23981774		4.902638867	9.419447929	4.502279311	0	4.30425182	5.177665129				0.199438701	1.252333354	0	0	0	0	9.969235957
74		OC01_02	PM10	9.274830593	3.436434356	12.98438688	1.446528665	366	37.828058	0		0	54.44661975		1.542030089		0				0	1.072814409	3.087911196	0	2.022572979	0	0
75		OC01_02	PM2.5	0.670469681	0.923941834	2.874801954	0.980904789	20	11.56556085	3.065812774		11.99004352			0.008552652		0.013051325				0	8.919143677	17.68092364	39.52400088	1.943531446	0	5.289381742
78		OC01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	3	4.639239609	0		0			0.080400339		0.114819966				0.659110676	0	0	0	0	36.79466546	57.71176815
79		OC01_02	PM2.5	1.117449469	1.192803778	3.956834194	1.114956559	52	57.43566155	0		40.02230763			0		0.063427049				0.224290206	0.240276847	0.270134187	0.306610414	0.373085123	0.467309495	0.596895441
80		OC01_02	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	20	0	0		0			8.841027319		0.035017024				7.663608342	9.998937696	0	0	72.66409993	0.797302742	0
81		OC01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	20	31.57060444	0.919319503		4.735173658			0		0				0	0	0	44.33453679	11.0398829	7.400484383	0
83		OC01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	13	72.38028049	6.678118557		0			0.012325023		9.458956122				1.987020485	4.840838909	1.823255606	0.62472024	0	2.194483206	0
85		OC01_02	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	50	73.51046801	0		0			0		16.82363302				0	0.166249904	0.579556031	1.327302773	0	0	7.592791319
84		OC01_02	PM10	5.922482186	2.746040517	10.8203224	1.57313783	185	70.25066614	8.149129152		11.18362546			0		2.146420069				2.3617981	1.026972104	0	0	0.066113973	4.815270379	0
93		OC01_02	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	19	0	64.04959559		7.19569549			28.06001902		0.075622939				0.262571592	0	0	0.35648928	0	0	0
92		OC01_02	PM10	10.83925985	3.714966255	12.42744473	1.133846304	321	50.94292164	20.78431845		15.17443955			0		0				0	0	0	0	0	0	13.09832782
94		OC01_02	PM2.5	0.670469681	0.923941834	3.508641765	1.461130645	11	0	11.63696647		0.253059971			0.014820772		1.517257933				19.78672296	26.856336	25.40682852	0	3.680126742	5.991765857	4.856108874
96		OC01_02	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	37	64.43008184	18.27546805		0			9.311398119		0.092994055				0	0	0	0	7.890059054	0	0
97		OC01_02	PM2.5	1.117449469	1.192803778	4.328128958	1.33402088	33	67.05774069	0		8.660686016			0		0				0	0	0	0	0	0	24.28156883
95		OC01_02	PM2.5	4.469797876	2.385607556	7.75987306	1.072041222	141	21.43888026	0		1.514308341			1.158280112		0			45.85489035	1.318022981	10.7070297	11.0665828	0	0	0	6.942013651
98		OC01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	94.3292141	0		0			0.074987765		0.135711592				0.488863606	0.525321951	0.591408648	0.673381286	0.823180657	1.034080237	1.323850825
102		OC01_02	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	48	48.8750726	1.431920473		0			0.036806116		0.176926237				13.0345121	36.44475937	0	0	0	0	0
99		OC01_02	PM10	13.74462847	4.183324574	14.40586182	1.201532772	458	30.01311719	1.947852597		12.0295994	25.13217032		1.446229126		0				0	0	4.517443851	1.397767104	3.30863297	7.672357559	12.53483146
101		OC01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	13	30.16856611	1.914656721		0			0.013048455		0.017257844				15.60700983	26.52061582	25.75884759	0	0	0	0
100		OC01_02	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	7	0	64.18486834		2.713513747			4.863459244		0.717388606				2.494153753	2.670959011	2.992058732	3.399083018	4.140602052	5.192509294	6.631408632
105		OC01_02	PM2.5	0.335234841	0.653325536	2.317859807	1.275308684	7	89.1828537	0		0			0.145724823		0.260279281				0.93261525	1.002121158	1.127066929	1.28371818	1.56968981	1.971905306	2.524030581
104		OC01_02	PM10	8.604360912	3.309896157	12.79873949	1.51497657	262	46.03461921	8.352274448		9.355019778	24.92789179		0.594114885		0.612155395				0	0	0	0	0	4.666997865	5.45691587
106		OC01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	26	42.56414473	14.91770595		5.845373124			0.010338186		0.017183322				0	0	0	36.64524853	0	0	0
107		OC01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	38.64367604	15.6001091		0.187954004			0		0.348849851				33.61678123	0	0	0	0	11.60263121	0
109		OC01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	4	27.24850774	0		0			0.088563713		11.95339933				32.01276064	28.69676352	0	0	0	0	0
108		OC01_02	PM2.5	2.458388832	1.769213915	5.410161198	0.947458011	70	33.62979889	0		1.375195757			3.365648165		2.136174031				44.09008622	0	0	4.589658231	0	10.81344709	0
111		OC01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	18	38.45419586	0		0			0.018845429		0.025517002				19.71256882	41.78886712	0	0	0	0	0
