Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
97		BU02_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	17	0	30.7533145		0.630649133			0	0.129775377		0	0	26.68832839	0	12.6010254	22.6784274	6.518479437
98		BU02_01	PM2.5	1.676174204	1.46088031	4.590674005	1.00051566	91	55.77229261	0		3.46012935			2.040375397	0.023273521		0	5.439623445	11.68791205	0	14.08580393	0	7.490585744
99		BU02_01	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	42	81.59798384	4.356559366		4.99914363			0	1.704668626		0.321627571	4.473691061	1.840261556	0	0	0.309664616	0.396401482
100		BU02_01	PM2.5	2.570133779	1.808976496	8.361860816	2.164912137	92	72.68765569	0		7.722663134			0.723393261	5.863402411		0	6.622823328	0	0	2.824816853	2.54058633	1.014668681
102		BU02_01	PM2.5	3.24060346	2.03127164	6.492193438	1.0350162	134	45.70512176	16.66505635		15.4677406			0	1.853861474		0	8.798147738	0	2.855662815	0	8.654405922	0
101		BU02_01	PM2.5	1.564429257	1.411344463	4.96196877	1.252397696	50	38.54439557	0		1.677531935			0.198424188	0.019992561		1.859557256	8.143974096	0	0	43.38909388	0	6.167028099
104		BU02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	21	49.32754934	6.951963902		0.01363262			0.006214549	13.84834796		0.393922115	0.943588465	0.787297729	0.120781921	0	0	27.60669887
106		BU02_01	PM2.5	3.017113566	1.959976608	7.574225677	1.513125535	104	22.2226873	2.839829773		9.530168027			0	13.00556064		0	0	0	10.68661436	0.133738434	31.55666888	10.02473459
105		BU02_01	PM2.5	2.570133779	1.808976496	5.858353627	1.062638565	78	44.42751408	0		10.26152745			0.008989475	0		0.151547126	0.331152882	0	0	26.58236623	10.99782661	7.239079475
107		BU02_01	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	76	52.88183689	16.56413078		15.69990367			0	1.746406965		6.576114148	5.058530718	0	0.556504028	0	0.916572474	0
108		BU02_01	PM10	8.827850805	3.352606261	12.79873949	1.476622733	256	30.51970005	13.99378181		19.60331947			0.301420013	0		0.784521364	13.51090968	16.59209281	3.697159514	0.997103751	0	0
