Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Ti Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
59		AG02_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	46	42.66439676	0			16.30991697		0.01240945		0				6.47868365	0	0	16.8280676	11.95898578	3.792697191	1.954844408
60		AG02_03	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	55	41.27157032	0			7.632307708		0		0.235237903				3.800089285	0	0	8.369385451	10.62914282	3.123128228	24.93914217
61		AG02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	19	0	16.10536724			0		0.013916577		2.006883547				0	3.735944629	29.04726267	15.33096731	0	0	33.75965655
63		AG02_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	10	33.59048367	3.789354116			19.66358125		0		0.029601046				16.24406725	13.65630627	0	0	4.954448342	7.775077969	0.29708955
62		AG02_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	25	41.98800921	48.02088737			8.256018162		0.023463267		0.041863622				0.150161318	0.161140005	0.181438401	0.206224713	0.251512742	0.315587316	0.403697975
64		AG02_03	PM2.5	1.899664097	1.555225852	5.224513816	1.143418159	69	45.27322948	0			29.73618209		0.595956622		0.264005619				0	1.087776199	16.12663567	6.916224211	0	0	0
65		AG02_03	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	48	32.97966719	11.27875224			0.587367173		2.665242739		10.21899432				12.22665757	29.58517969	0	0	0	0.353150931	0.104992522
66		AG02_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	55	51.14254951	0			8.603145182		2.763247117		0				0	0	0	4.065866396	17.50425845	15.92092961	0
68		AG02_03	PM2.5	3.128858513	1.995942481	6.754738484	1.160436259	143	49.17930663	6.021098793			26.11041367		0		0				14.16208893	0	0	4.146837816	0	0.380258192	0
67		AG02_03	PM10	21.11979496	5.18561068	17.04997079	1.095336896	774	49.97878373	4.262908921			5.778611824	13.84648383	0.183384726		0	17.21505374			0	0	0	0	0	3.506850079	5.227928981
70		AG02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	25	0	0			0		54.00559306		0				12.27024645	14.89557624	3.185702115	2.762314305	3.346343338	4.203314334	5.330907926
