Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Ti Wt%	Fe Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%	W Wt%
141		OC02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	36	49.83054996	0			48.55042398		0.766972685		0					0	0.090998941	0.102281559	0.116011733	0.140998152	0.17647132	0.225282391	
148		OC02_03	PM2.5	3.687583248	2.166835669	8.284963152	1.481253757	88	30.38724959	46.58063948			2.037901431		4.231034964		0					0	0	0	0	0	16.76318049	0	
149		OC02_03	PM2.5	3.24060346	2.03127164	6.492193438	1.0350162	113	49.39608574	0			0		0		0					0	0	0	23.69978428	0	12.43506894	14.4690603	
155		OC02_03	PM2.5	1.45268431	1.360005555	4.590674005	1.154441146	84	40.33049047	0			0		0		0.009436569					0	0	0	0	0	24.68007207	34.98000503	
154		OC02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	24	48.04966748	0			16.72400087		0.061338081		0					0	0	13.1578058	2.420470119	7.987897843	9.014254808	2.584574372	
158		OC02_03	PM2.5	2.234898938	1.68687928	5.595808581	1.114956559	77	38.80468309	32.90711939			24.58038628		0		0.009040882					1.209259219	1.364500169	0	1.125017647	0	0	0	
164		OC02_03	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	56	43.98190081	0			1.909694448		0		2.280769497					0.013303351	0	0	0.028371174	0.304173352	0.02623708	0	51.45555139
168		OC02_03	PM2.5	2.011409044	1.600314199	4.96196877	0.974087097	81	45.6757009	18.7232092			7.616408914		0		0.647765677					14.20214772	0	0	0	1.113167685	11.94926128	0.072339748	
167		OC02_03	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	61	10.57507247	0.236417446			1.589266397	36.98428869	3.125413507		0					0	14.74666595	10.35577282	0	0	19.84681934	2.540283091	
173		OC02_03	PM10	8.492615965	3.288333086	15.56479173	2.270049241	308	52.98756361	0			16.60138816	20.28697729	0		7.638158649					0	0	0	2.485907823	0	0	0	
172		OC02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	23	72.25127816	0			8.035904169		0.015870605		0.027438276					9.10507068	0	0	0	1.608625241	8.955808729	0	
175		OC02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	31	23.91883731	15.83952308			12.6535669		0.006735602		0					0.875363778	2.497366816	0	0	0	41.32766128	2.88094487	
174		OC02_03	PM2.5	4.134563035	2.294403878	7.311680631	1.028951597	144	47.6950556	12.67574579			14.59704787		1.335822139		0.526121166					1.545214839	0	1.036435552	0.943592936	0	2.718956023	16.9260025	
