Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
16		WN03_01	PM2.5	0.993288417	1.124586187	4.080599115	1.33402088	44	46.157673	0			2.922937088		0.554620614	8.473628759	8.108973503	23.91508371	0	0	9.867080301	0	0
18		WN03_01	PM2.5	0.397315367	0.711250755	2.040299558	0.83376305	12	32.41252005	16.27883762			0		0.071192905	45.68764865	0.531013636	0.54724887	0.611233665	0.689549604	0.830441993	1.031710673	1.308606844
19		WN03_01	PM2.5	0.198657683	0.502930232	1.19517981	0.572204495	15	23.78386557	0			6.691569835		0.052867556	0	0	0	0	44.68076527	15.87348878	8.91744718	0
22		WN03_01	PM2.5	1.1919461	1.231922445	4.080599115	1.111684066	34	0	4.252298921			0		0.009587452	0.014170223	25.92288256	33.1612587	10.26130915	3.611336276	5.080015585	17.68714637	0
23		WN03_01	PM2.5	0.198657683	0.502930232	1.19517981	0.572204495	11	85.32306552	12.22595945			0		0.032166296	0.058555149	0.211474369	0.227177539	0.25593061	0.291204336	0.355719449	0.446780678	0.571968919
17		WN03_01	PM10	5.562415135	2.661256642	9.108848197	1.187008057	138	28.92870903	5.942815915			0.47606919		0	32.20716417	11.03126928	10.32627523	11.08769327	0	0	0	0
21		WN03_01	PM2.5	0.794630734	1.005860464	3.585539429	1.287460114	15	81.79192543	0			0		11.51586026	0	0.36125218	0.245785061	0	0	0.383617938	5.701560527	0
24		WN03_01	PM2.5	0.397315367	0.711250755	2.040299558	0.83376305	21	0	0			0		0.046488352	3.411406279	36.5121752	30.50119877	0	0	11.07604802	17.61322767	0.839450583
20		WN03_01	PM2.5	0.59597305	0.871100715	2.637889462	0.929130466	24	0	16.00501537			0		0.052979501	0	49.09906089	0	0	24.78919029	10.05375832	0	0
25		WN03_01	PM2.5	0.198657683	0.502930232	1.19517981	0.572204495	7	0	2.202676609			69.18682456		0.474767154	0.741506834	2.515097708	2.683361806	2.998732403	3.395023942	4.114333913	5.141272396	6.546403468
26		WN03_01	PM2.5	4.767784401	2.46384489	8.16119823	1.111684066	108	52.18458772	15.00366479			17.50297248		0	5.780571699	4.618215561	4.909989983	0	0	0	0	0
27		WN03_01	PM10	24.43489506	5.577766099	20.65052542	1.388806914	457	36.8314147	0			1.306704059		0	31.88536465	7.038323581	0.739540439	3.990220279	2.961715125	0	6.216035038	9.030675143
28		WN03_01	PM2.5	2.979865251	1.947840413	9.006317978	2.166147683	85	18.54021698	18.69799346			1.346876472		7.562720776	2.332866937	0	0	4.746202007	0.752905244	0	29.71375585	16.3064599
29		WN03_01	PM2.5	0.993288417	1.124586187	3.48300921	0.971905435	39	0	56.03767633			0		0	1.128492318	3.891506419	4.164437577	4.656583071	5.287270993	6.437400728	8.079940826	10.31669751
30		WN03_01	PM2.5	0.397315367	0.711250755	2.040299558	0.83376305	13	0	0			0		95.02440095	0.140176294	0.455591641	0.482828775	0.537638832	0.604752311	0.724666985	0.896607246	1.133334171
31		WN03_01	PM2.5	4.569126718	2.411968661	7.811138169	1.062638565	93	70.50895095	0			1.767768525		3.195475787	23.08918238	0	0	0	1.43862376	0	0	0
34		WN03_01	PM2.5	0.794630734	1.005860464	2.885419306	0.83376305	32	64.5514071	21.30082101			13.57509047		0.530931354	0.04174471	0	0	0	0	0	0	0
35		WN03_01	PM2.5	1.1919461	1.231922445	3.730539054	0.929130466	26	47.03524709	0			6.401132047		0	0.055396295	0	0	17.58771539	3.242266551	10.65166071	12.01697513	3.009603918
32		WN03_01	PM10	8.144965019	3.220324759	16.42492668	2.635771706	177	41.94087088	15.36116749			0		0.566716818	8.603592962	0	7.380019873	5.632801726	10.79407856	0	0.025096192	9.695655853
36		WN03_01	PM2.5	0.397315367	0.711250755	2.040299558	0.83376305	20	0	0			80.12653589		0.153323752	0.535833184	6.539493054	5.647328496	0	1.109611709	0	0	5.887866393
33		WN03_01	PM2.5	2.185234517	1.668030876	6.120898673	1.364339536	63	55.68194985	14.61137235			13.77414912		0	2.145601995	0	0.146638788	0.570831075	0.186973868	0.780764315	2.427583374	9.674144536
38		WN03_01	PM10	5.562415135	2.661256642	9.108848197	1.187008057	136	57.80776739	0			0		2.920605429	35.4385227	3.833104298	0	0	0	0	0	0
37		WN03_01	PM2.5	0.993288417	1.124586187	3.48300921	0.971905435	26	13.84585649	0			3.126352653		0.007599716	0.011415388	6.658855081	16.67737663	10.07225439	5.491164699	0.061546342	44.04758513	0
39		WN03_01	PM2.5	1.1919461	1.231922445	3.730539054	0.929130466	38	0	0			5.886572972		0.154975883	0.057960325	2.087635919	7.250088453	0	0	0	84.56276655	0
40		WN03_01	PM2.5	1.390603784	1.330628321	4.328128958	1.071981064	18	55.29922247	0			0		0.037210595	0	29.22757268	13.63167018	0	1.804318652	0	0	0
41		WN03_01	PM2.5	3.178522934	2.011720928	6.265898298	0.982950097	109	30.94794154	3.307301179			11.76828593		1.567370817	0	3.832011297	10.14561206	28.51753235	1.824986748	0	0.96721705	7.121738046
42		WN03_01	PM2.5	0.59597305	0.871100715	2.987949524	1.192092698	29	16.38961434	21.09092623			0		0	0.041328016	0	0	0	0	0	40.84770083	21.63043618
43		WN03_01	PM10	6.754361235	2.93256199	10.09896757	1.201599689	121	26.09954774	23.24347347			11.33219525		0	5.886730924	4.324607924	13.0533576	5.676990375	10.38310081	0	0	0
44		WN03_01	PM2.5	0.397315367	0.711250755	2.040299558	0.83376305	26	0	0			0		0.158120424	22.68429846	0.805720035	0.850944687	3.301076964	1.058722381	3.993178159	10.52376777	56.62416816
46		WN03_01	PM2.5	1.78791915	1.508790696	4.925718863	1.079894928	52	6.955550611	0			21.84085697		8.986990154	0	0	6.534186751	22.9956165	1.765526459	0	0	30.92126846
47		WN03_01	PM2.5	1.589261467	1.42250151	4.328128958	0.937983431	54	0	0			16.15130007		5.593432114	1.258082595	6.181648746	11.10851616	0	0	0	9.630948305	50.07606745
48		WN03_01	PM2.5	4.171811351	2.304715858	7.563608326	1.091248192	123	53.75973582	0			30.56363463		12.31520772	0.768494792	0.631409744	1.606602035	0.248893164	0	0	0	0.106019864
45		WN03_01	PM10	6.754361235	2.93256199	10.09896757	1.201599689	123	51.62214041	0			20.68731785		0	0	3.551057726	0	0	0	0	1.509002037	22.63048142
51		WN03_01	PM2.5	2.185234517	1.668030876	5.173248707	0.974582929	36	33.04985464	43.25646162			0		0.025535142	4.89554666	0.160937058	9.376269579	8.740572631	0	0.49482435	0	0
52		WN03_01	PM2.5	0.397315367	0.711250755	2.040299558	0.83376305	12	42.3622936	51.97727084			0.268739951		0.072635536	0.129819987	0.465676561	0.500063458	0.5627912	0.640359567	0.78205727	0.981867034	1.256423257
49		WN03_01	PM2.5	2.185234517	1.668030876	5.770838611	1.212746254	57	40.01928568	12.90307939			0.052845047		8.854916692	3.962330148	10.10940745	0	0	10.50198227	12.00113967	1.595016196	0
53		WN03_01	PM2.5	0.198657683	0.502930232	1.19517981	0.572204495	14	40.51433206	56.04011416			0		0.046121515	0.082816003	0.297657028	0.319615332	0.359860202	0.409344863	0.499780569	0.627442962	0.802925043
54		WN03_01	PM2.5	0.198657683	0.502930232	1.19517981	0.572204495	11	3.083769605	0			0.018940119		0.013389722	0.025433584	51.78454518	9.577537328	0	11.79455221	6.449911743	0	17.25192666
50		WN03_01	PM2.5	0.198657683	0.502930232	1.19517981	0.572204495	11	20.36330998	74.82097149			0.091782334		0	0.115517934	0.413906481	0.444355002	0.500081247	0.568834133	0.694417907	0.871638115	1.115184929
56		WN03_01	PM2.5	0.794630734	1.005860464	2.885419306	0.83376305	9	0	51.74573064			1.261402667		0.735263014	1.192324143	4.097248614	4.38337326	4.899683595	5.56300059	6.772509217	8.498667926	10.85078344
57		WN03_01	PM2.5	2.781207567	1.881792618	5.770838611	0.952872057	72	68.48811507	14.2368868			1.835071854		2.551603504	3.716300055	5.215476081	0.950736552	0	0	0.451447489	2.412770502	0.14159414
60		WN03_01	PM10	8.939595752	3.373758561	13.53950737	1.63184153	171	46.14797831	6.190647557			3.87163274		0	10.69741771	4.424193874	14.51073736	1.429516077	0	0	1.854569651	10.87330207
58		WN03_01	PM2.5	0.198657683	0.502930232	1.19517981	0.572204495	13	0	62.96027899			0		0.470724562	0.778182968	2.684351802	0	0	3.788528964	29.31793928	0	0
55		WN03_01	PM2.5	0.397315367	0.711250755	2.040299558	0.83376305	11	0	76.15944743			1.952114888		0.317135127	0.539647369	1.896982081	2.034293674	2.282123454	2.595594712	3.167054802	3.974689543	5.080936104
62		WN03_01	PM2.5	0.397315367	0.711250755	2.040299558	0.83376305	15	92.20559597	0			2.592577599		0.069067284	0.124681287	0.44874344	0.482091866	0.542738708	0.617781887	0.754919089	0.948142447	1.213654503
64		WN03_01	PM2.5	0.397315367	0.711250755	2.040299558	0.83376305	21	8.471686393	0			0.064772845		0.019429931	0.028196358	0	0	0	0	0	91.41591787	0
66		WN03_01	PM2.5	0.397315367	0.711250755	2.040299558	0.83376305	23	13.29305768	0			0		0.016889923	0.024632603	0	0	0	0	0	10.90643629	75.75899363
61		WN03_01	PM2.5	1.1919461	1.231922445	3.730539054	0.929130466	22	95.55498958	0			0		2.733425982	0.041540008	0.149822026	0.160886394	0.18124677	0.206128927	0.251631532	0.315947691	0.404383382
59		WN03_01	PM2.5	1.390603784	1.330628321	4.080599115	0.952872057	43	23.45478386	0			5.357182026		0	10.70908979	10.39026603	13.99042904	22.83734381	0	4.885490239	4.644090682	3.731314465
67		WN03_01	PM2.5	3.774495984	2.192222057	6.966018421	1.023058353	88	31.08738661	11.03817374			17.59989709		4.410946742	0.092313084	0.044114172	0.96459575	0.631522154	0	0.766102644	0	33.36493671
63		WN03_01	PM2.5	1.390603784	1.330628321	4.080599115	0.952872057	31	53.32927108	3.7263982			0.786566734		0.044787789	6.251310557	4.612496495	15.26905894	6.396311522	1.958097517	0	7.625696808	0
65		WN03_01	PM2.5	0.397315367	0.711250755	2.040299558	0.83376305	10	0	0			72.5359261		0.456777355	0.712340279	2.415106259	2.576408908	2.8792575	3.259379417	3.949164227	4.933926463	6.28170073
