Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
29		AG02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	54	8.610244095	7.609932125		0		0	0		4.885127023	6.049551815	0	0	29.31189537	43.53325069	0
30		AG02_01	PM2.5	2.570133779	1.808976496	5.858353627	1.062638565	97	63.29038739	0		5.228031427		2.298594452	0.138330285		0	0	0.303160003	1.801897027	0	9.577485919	17.3621133
32		AG02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	0	0		0		0.602201978	57.03880787		4.032027721	4.262023419	4.726630077	5.304512009	6.336528063	7.82963559	9.867630154
31		AG02_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	24	66.83887839	29.01175022		0.602149777		0.024149062	1.997753978		0	0	0.277495407	0.218533259	0.266601541	0.334585714	0.428102585
33		AG02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	25	40.42693377	7.692632824		0.024637434		0.886199996	5.635396764		21.9895795	18.61829758	0	4.726327211	0	0	0
34		AG02_01	PM10	9.721810381	3.518265684	11.34541249	1.053618944	379	35.2761656	3.790725023		9.590632468	25.90854764	0	2.049425058		3.647674993	4.643180221	7.384037971	0.033428587	3.335773572	0	4.340412468
36		AG02_01	PM2.5	1.005704522	1.131593022	4.590674005	1.6675261	60	49.49940741	14.09326345		1.892695948		0.337920105	14.85067606		3.043105081	1.735508814	0	2.495813742	12.05160767	0	0
38		AG02_01	PM2.5	2.90536862	1.923338301	6.306546055	1.089361538	118	37.62089014	9.165593982		3.136843815		0	0.318561913		10.98608375	6.215080991	7.755824178	0	0	6.814903766	17.98621267
39		AG02_01	PM2.5	2.793623673	1.88598837	6.044001009	1.040569974	126	46.71329856	2.279545553		2.536102757		3.719725087	4.778049141		23.44419509	14.44105655	0	0	2.088029496	0	0
41		AG02_01	PM10	6.034227133	2.771825501	9.104450346	1.093140402	244	63.18632364	1.45730786		6.320411712		0	4.98912856		11.31534502	12.73147762	0	0	0	0	0
37		AG02_01	PM2.5	2.90536862	1.923338301	7.202930912	1.421043567	91	28.35560441	18.16441566		15.34213126		0	0.031367227		10.89666113	0.311197317	0	19.84954625	6.078935042	0	0.970141497
42		AG02_01	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	62	52.93947458	15.08764625		0		0	5.136720464		12.81322539	9.823267907	0.075753703	2.083594538	0	0	2.040319517
40		AG02_01	PM10	7.486911443	3.087496027	14.66840687	2.286932443	221	64.91267681	0		7.331807911		1.332613453	2.956078574		0	11.3135621	5.296846852	0	0	0	6.856415421
43		AG02_01	PM2.5	3.911073142	2.231531534	9.104450346	1.686559478	147	75.94458461	0		7.990258187		3.531560302	0		0	0	0	0	10.47727242	0	2.056322806
44		AG02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	86.54541373	0		0		0.182956562	0.324689387		1.160348486	1.24668628	1.401487179	1.596321538	1.95186995	2.452009171	3.13822329
45		AG02_01	PM2.5	2.011409044	1.600314199	5.224513816	1.079894928	63	32.66597688	0		10.31617597		5.221899971	4.235094786		25.82958937	4.994277656	0	1.522717346	0	1.833513938	13.38075995
46		AG02_01	PM2.5	0.558724735	0.84343964	3.585539429	1.831054384	48	77.7752459	0		0		0.009025252	15.11215717		0	0	3.11200358	0	1.384805515	1.972572692	0.634185737
47		AG02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	34	12.84447759	1.746062003		0		13.2365346	0		26.42211318	15.23002833	0	0	14.31802362	13.56936544	2.633393556
48		AG02_01	PM10	45.59193834	7.619019544	26.83330655	1.256754543	1273	55.42184114	3.904905543	7.081826031	9.364299476	16.50742441	0.269815978	1.8578697		0	2.940939739	0	0	0	2.651064284	0
49		AG02_01	PM10	14.97382289	4.366378755	14.43771388	1.107782005	381	55.85178733	0.737115135		19.05740052		0.437563425	2.594278194		0	1.994878054	0.53073233	0	0	0.708882045	18.08736026
50		AG02_01	PM10	10.7275149	3.695767335	14.03456706	1.461130645	310	66.0482347	0		10.72151512		0	1.281945221		0	0.254127686	0	0	5.435062945	3.927015886	12.3320967
51		AG02_01	PM10	24.91912316	5.632762469	20.5267605	1.345544947	605	51.46514773	9.771711379		6.073246524	12.15153411	0.209631119	1.018387452		0	1.746411808	1.079087891	0	0	7.285817713	9.199017286
52		AG02_01	PM2.5	3.911073142	2.231531534	7.311680631	1.087748831	147	54.33362126	0		16.03039652		0	0		7.625732571	11.86861247	0	0	2.902097814	1.854327135	5.38520962
55		AG02_01	PM2.5	1.005704522	1.131593022	5.038866433	2.009025393	46	28.73513103	0		54.60162163		1.561974268	0		3.629923239	7.765410841	2.334041521	1.110640727	0	0.26126022	0
53		AG02_01	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	83	56.55260086	0		6.969899684		0	0.219159038		0.296213874	0.034648229	0	0	0	0	35.92747152
57		AG02_01	PM2.5	1.899664097	1.555225852	4.776321387	0.95565339	60	47.5702703	0		23.38968366		0	0.263155159		0	17.3196435	11.45725325	0	0	0	0
58		AG02_01	PM2.5	1.45268431	1.360005555	4.776321387	1.249700586	87	66.37684703	0		18.81235391		3.028402664	11.57902479		0	0	0	0	0	0.203369791	0
56		AG02_01	PM10	11.95670932	3.90176308	13.61822669	1.234296743	433	39.55838382	3.924149647		5.93796894	26.99447572	0.699170912	0.159045169		0.830709562	0.2663814	2.599026822	2.499637753	2.690107189	0	13.84095252
59		AG02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	44.6121484	28.00065875		23.80469441		0.050167821	0.087435124		0.310821226	0.33324752	0.374816265	0.425773347	0.518736336	0.650306605	0.831195898
65		AG02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	18	94.91569996	0		0		0	3.634737432		0	0	0.193513802	0.220004492	0.268380041	0.336780841	0.430890499
63		AG02_01	PM2.5	0.670469681	0.923941834	3.322994383	1.310600129	59	0	0		95.19158602		4.076005146	0.732412096		0	0	0	0	0	0	0
64		AG02_01	PM2.5	2.570133779	1.808976496	6.863488203	1.458559632	98	56.91702962	0		15.13354778		0.657403562	0.15933672		0	0	0	0	8.424001932	18.70867461	0
60		AG02_01	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	57	98.83951545	0		0		1.16048893	0		0	0	0	0	0	0	0
