Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Fe Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
37		MG03_03	PM2.5	1.005704522	1.131593022	4.142481576	1.357815944	50	55.46072721	0	21.00459039		0	1.067848131			0	0	4.275301099	0	1.413957216	2.010104805	14.76746649
38		MG03_03	PM10	10.61576996	3.676468156	16.46117659	2.031235999	334	59.33751464	1.809290051	15.97128958		3.309290484	2.069661953			0.542405574	0	0	2.774390578	0	2.827707492	11.35845408
40		MG03_03	PM2.5	1.005704522	1.131593022	4.142481576	1.357815944	26	76.67235136	11.64054796	2.20214054		0.012049319	9.472917765			0	0	0	0	0	0	0
41		MG03_03	PM2.5	2.570133779	1.808976496	7.836770723	1.901554112	83	38.98303211	0	0		0	2.944814414		31.38782978	9.199988842	3.894622251	0.641278084	4.309003055	4.301092774	1.576982252	2.761359327
44		MG03_03	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	61	45.91213167	40.69721699	0		7.05852285	3.750003502			0.134321314	0	0.036939781	1.060058177	1.35081429	0	0
42		MG03_03	PM2.5	1.78791915	1.508790696	5.038866433	1.130076784	73	44.47595775	21.2733984	16.17777646		0.758399675	0.772254216			5.665823445	4.787462577	0	0	1.908073574	3.328979015	0.851873588
47		MG03_03	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	49	24.33885336	0	1.976244152		0.076350587	0.009147814			4.206278548	0	0	2.444990538	0	10.36235467	56.58578277
45		MG03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	27.07029581	9.811756015	9.815717489		0.013247519	1.395192649			3.674345091	0	2.234797366	38.0718559	6.517972052	1.198918466	0.195905659
50		MG03_03	PM2.5	2.681878726	1.847883667	6.306546055	1.180141667	101	52.30905414	37.12104559	0		0	6.755841523			3.814050183	0	0	0	0	0	0
49		MG03_03	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	50	63.77800703	10.77380851	4.325093329		3.120896406	1.2785648			4.767385125	0	0	0	0	0	11.95624098
46		MG03_03	PM10	7.93389123	3.178324096	11.45416221	1.315923225	272	51.10074878	6.767461449	10.56291163	22.53002673	0	0.19401164			0	0	0	0	0.826949161	8.017885685	0
48		MG03_03	PM10	37.881537	6.944945711	55.56813254	6.486555644	1199	48.77266288	2.616308257	0.594327273	12.59997487	0.099288207	1.160944253	28.07957828		3.282120824	2.111920156	0	0.059818238	0	0	0.623064861
52		MG03_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	27	32.89850652	0	5.517373979		0.01217877	0.533506414			11.2861	27.76845992	8.518537134	1.950476691	0	11.51486114	0
51		MG03_03	PM2.5	3.575838301	2.133752265	8.208065488	1.499318466	157	41.10203981	21.03326321	5.225523561		0	0			0	1.593167894	9.173401445	0	0	21.87260836	0
56		MG03_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	27	0	0	7.488082349		5.038377643	14.51764405			9.894810617	0	0	0	0	17.11445451	45.94662786
54		MG03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	12	13.34680766	23.87980521	0.141002145		0.014583608	0			9.030830115	2.997098304	0	0	0	7.492123544	43.09775829
55		MG03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	43.17749143	39.43493962	4.693017155		0.064176955	0			5.648994446	3.327776492	0.485931663	0.552059663	0.676199561	0.851061568	1.088349335
57		MG03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	22	52.08930373	0	0		0.024080124	0			10.6851697	23.00886214	14.19257969	0	0	0	0
58		MG03_03	PM2.5	4.022818089	2.263186044	9.81518782	1.905710693	170	53.48836184	17.01602936	7.891496271		4.547550902	5.793832988			3.644331917	0	0	0	0	0.717775198	6.90061152
59		MG03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	21	39.51393366	9.702321142	5.867429823		22.920838	0			3.450540081	6.69329986	0	0	0	11.85163707	0
60		MG03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	10	11.39047891	0	0		0.142148382	0.021575483			0	0	6.406792253	0	7.722879201	0	74.31612611
62		MG03_03	PM2.5	2.570133779	1.808976496	9.661392493	2.890106573	81	75.4267931	0	9.340570122		0	0			5.375714973	0	0	0	0	9.85692516	0
64		MG03_03	PM2.5	2.681878726	1.847883667	10.55777735	3.307470649	108	58.46728683	0	4.469618574		0.129183277	0			0	0	0	0	4.884083569	10.09216681	21.95766419
63		MG03_03	PM10	11.95670932	3.90176308	15.30224668	1.558435607	362	40.50450325	32.41235316	0.681078108		16.26516283	5.991405249			0	0	0	0	0	4.145502672	0
65		MG03_03	PM2.5	0.893959575	1.066876133	3.431744101	1.048339735	26	18.6867103	21.76307589	0		0.007423943	0.015744283			35.43008268	13.14130723	0	8.601429313	0	0	2.354226634
61		MG03_03	PM2.5	2.346643885	1.728536893	5.410161198	0.992575059	93	36.01928055	43.35196316	12.81227469		1.0245407	1.725928485			0	0	0	0	0	3.608001396	1.458017807
