pm_id,leaf_id,sample_id,sub_sample_id,tree_species,pm_class,pm_area,pm_ecd,pm_perimeter,pm_shape,pm_count,O Wt%,F Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,Cl Wt%,Ca Wt%,La Wt%,Ce Wt%,Pr Wt%,Nd Wt%,Sm Wt%,Gd Wt%,Dy Wt%,Fe Wt%,Br Wt%,W Wt%,K Wt%,Ti Wt%,Ru Wt%,S Wt%,Zn Wt%,B Wt%,Rb Wt%,In Wt%,Be Wt%,Mo Wt%,Mn Wt%,P Wt%,Te Wt%,Ni Wt%,notes
22,CS03,21C,CS03_03,Castanea sativa,PM2.5,1.117449469,1.192803778,4.590674005,1.50077349,47,37.00831831,6.311053038,,,6.385145336,,0.628820527,0,0,2.212327346,6.696794927,0.472297613,1.926789246,36.2572372,2.101206966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,CS03,21C,CS03_03,Castanea sativa,PM2.5,3.352348407,2.065996747,6.492193438,1.00051566,135,24.0886718,23.7994507,,,6.601522118,,17.04764217,0.185621611,2.073945664,0,2.093189955,5.793502927,0,0,18.31644922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,CS03,21C,CS03_03,Castanea sativa,PM2.5,1.45268431,1.360005555,4.328128958,1.026169907,76,41.22993052,0,,,0,,0,4.529000074,4.113556445,7.700248063,23.09880257,6.324975938,6.919150054,0.888465438,5.195869133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,CS03,21C,CS03_03,Castanea sativa,PM2.5,0.558724735,0.84343964,2.612256908,0.971905435,20,0,48.30734432,,,0,,50.17723441,0.040015663,0.136061234,0.145021931,0.162356673,0.183481933,0.221634819,0.276003685,0.350850984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,CS03,21C,CS03_03,Castanea sativa,PM2.5,0.446979788,0.754395348,2.164064479,0.83376305,22,0,29.31355238,,,7.020588964,,27.03651786,0.021803603,0,0,20.48985511,0,3.653702885,4.33165729,8.132317662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,CS03,21C,CS03_03,Castanea sativa,PM2.5,2.793623673,1.88598837,6.120898673,1.067216704,106,0,14.12645429,,,1.47770429,,34.90860164,0,2.371139266,7.99389407,6.760881841,18.81998479,13.54133189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,CS03,21C,CS03_03,Castanea sativa,PM10,28.94194125,6.070422069,26.01381936,1.860675841,1267,15.8882156,1.917786337,35.91155708,,1.089448761,,36.60471737,0.466465205,0.837283395,3.194179386,2.408805303,1.681538671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,CS03,21C,CS03_03,Castanea sativa,PM2.5,0.446979788,0.754395348,2.164064479,0.83376305,14,31.10102415,18.5297206,,,1.579635404,,25.64550042,0.023051995,0,0,0,12.97087818,6.479840726,3.670352697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,CS03,21C,CS03_03,Castanea sativa,PM10,5.698992292,2.693730193,10.18648259,1.448907166,224,0,34.65292156,,,0,,32.35581219,0,13.96280974,19.02845353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,CS03,21C,CS03_03,Castanea sativa,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,35,71.3817358,25.93041658,,,0,,0,0.179443508,0,0,0,0,0,2.508403361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,AG01,5A,AG01_02,Alnus glutinosa,PM10,13.63288352,4.166284485,15.48789406,1.400190577,337,48.792395,5.856823549,0,0,13.38681728,,0.411206391,0.077718828,6.742743403,3.898058459,3.742109239,0,2.540545724,0,14.55157697,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,AG01,5A,AG01_02,Alnus glutinosa,PM10,9.721810381,3.518265684,11.71670725,1.123709747,308,58.89054537,4.622985795,0,0,0.268917112,,0.254520704,14.56676126,7.604568452,0.493654562,1.899645291,0.173763942,10.93696877,0.28767949,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.558724735,0.84343964,2.874801954,1.177085747,39,46.95216417,0,0,0,2.763496153,,0.041715644,1.325624622,5.843686312,21.64751589,21.42581344,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.893959575,1.066876133,3.431744101,1.048339735,26,28.59452963,25.22110045,0,0,31.13899231,,1.487903669,0.06813762,1.739092171,1.339906827,0.67192181,4.979322478,0,0,4.759086668,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,2.570133779,1.808976496,9.104450346,2.566503553,136,62.81245947,0,0,0,0,,0,1.55518977,10.12542844,6.222157925,0,0,7.575083524,0,11.70967594,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.558724735,0.84343964,2.612256908,0.971905435,25,17.35066921,0,0,0,2.329521067,,0.039902228,9.090319276,33.58265162,12.74178177,8.838349581,16.02681428,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,AG01,5A,AG01_02,Alnus glutinosa,PM10,10.05704522,3.578411335,15.1165993,1.808122854,403,33.75560939,1.379483659,0,0,9.944190085,30.32205999,0,0,4.569062963,4.278917238,3.604196012,3.777601942,2.231961675,0,6.136924401,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,13,0,49.6925801,0,0,3.270983323,,0,6.201082096,3.723748773,3.980517387,4.449206963,5.047021434,6.135802716,7.68981427,9.809242934,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,2.234898938,1.68687928,5.781455963,1.190163674,102,52.97694802,0.938563608,0,0,8.703003079,,0.011634759,3.712423518,13.17414492,4.379696026,7.347827405,0,8.36622864,0,0.389527087,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.335234841,0.653325536,2.164064479,1.111684066,27,21.83241695,0,0,0,0.420562224,,2.098316327,0.016160969,0,0,34.1163516,19.11206841,12.52805442,5.712888017,4.16319631,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.670469681,0.923941834,2.79790429,0.929130466,17,42.41563678,2.767760493,0,0,25.33674538,,0.04871843,5.676181242,15.3480798,6.725875288,0,1.68100521,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.446979788,0.754395348,2.164064479,0.83376305,22,15.799357,14.29111809,0,0,29.07859385,,0.050323148,0.859760493,0,0,16.29780829,0,7.554028928,12.36793473,3.701071441,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.446979788,0.754395348,2.164064479,0.83376305,40,50.13617277,26.60169005,0,0,6.074444577,,12.85749376,0,1.17896283,0.861086883,0.306897797,0.34832051,0.42418316,0.531657878,0.679087127,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.446979788,0.754395348,2.612256908,1.214881794,28,37.47988343,31.77265227,0,0,8.6023435,,0,0.226945686,10.07805094,7.570592314,0,0,0,3.481307998,0.788228028,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,1.340939363,1.306651072,5.672706244,1.909684335,66,6.03675209,11.94383949,0,0,0,,6.145516038,0.94654737,0,5.42685315,13.1593883,16.23575985,9.437699616,0,30.66764176,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.670469681,0.923941834,3.060449336,1.111684066,37,20.95932364,0,0,0,21.44170702,,9.466044605,0,0,0,33.38936865,14.31270689,0,0.430856133,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.335234841,0.653325536,1.978417097,0.929130466,17,0,4.079824314,0,0,83.35480094,,0.204758882,0,1.104051061,0,0,3.959514201,2.168809809,2.254304104,2.87393257,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,4,44.99289989,0,0,0,0.576673867,,0.851620547,1.382561587,4.746443406,5.077940971,5.673631653,6.441907585,7.843046635,9.844756871,12.56851554,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,1.229194416,1.251023157,5.301411479,1.819502202,47,65.58123231,0,0,0,2.851193957,,0.02834503,0,0,0,0,6.925547868,12.18942702,11.78659126,0.637662504,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,1.005704522,1.131593022,3.87993653,1.191156913,47,97.59848118,0,0,0,0,,0,0.305476109,0.187761849,0.201714854,0.227273302,0.258597732,0.315898983,0.396791939,0.508006243,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.558724735,0.84343964,3.060449336,1.33402088,37,51.2383163,45.73615193,0,0,0.595805934,,0.111693575,0.056372088,0.202954747,0.217928179,0.245444663,0.279155374,0.34078469,0.427849637,0.547551224,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,16,24.84493852,0.427425234,0,0,0.029129148,,0.010449844,0.016358485,27.33560205,46.58775032,0,0,0,0,0.748342322,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.558724735,0.84343964,2.612256908,0.971905435,38,89.29118514,0,0,0,7.895700634,,0,1.623206958,0.106954784,0.114790082,0.129283872,0.146948779,0.179234776,0.22492779,0.287766755,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,1.229194416,1.251023157,4.142481576,1.110940318,54,64.85650539,21.68178111,0,0,0,,7.952544093,0.116157799,3.772467747,1.620547287,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,3.24060346,2.03127164,8.284963152,1.685564621,118,45.84435225,45.7377255,0,0,1.56866014,,4.502956942,2.3463035,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,1.340939363,1.306651072,6.383443719,2.41819358,51,43.21672916,0,0,0,0.032229983,,6.119820103,5.149473622,3.928846866,0.237952988,0,0,0,40.90526104,0.409682887,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.446979788,0.754395348,2.426609525,1.048339735,28,0,9.569901228,0,0,3.370293602,,0.009437497,9.590055794,3.442728892,0,0.211849809,20.07217854,0,41.24819338,12.48536706,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,1.45268431,1.360005555,4.853219051,1.29026429,41,98.33117723,0,0,0,0.027168417,,0.014132872,0.579388393,0.093940779,0.100902806,0.113716407,0.12934152,0.157932041,0.198354805,0.253940653,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,1.564429257,1.411344463,4.776321387,1.160436259,39,74.74163771,19.67136562,0,0,0,,0.086059346,0,1.680060104,0,0,0.837831106,2.983053587,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,21,84.2187047,0,0,0,0,,1.02137411,13.79695982,0,0,0.102769164,0.253007351,0.203375123,0.177359115,0.226447894,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,3.799328195,2.199421492,12.42744473,3.234796809,175,47.73896635,0,0,0,1.346839033,,0.288801244,0,0,0,8.652704954,26.65566504,8.095546067,3.794284537,3.427184746,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.446979788,0.754395348,2.164064479,0.83376305,49,83.00760388,0,0,0,16.8648243,,0.045720785,0.081858534,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,1.564429257,1.411344463,4.776321387,1.160436259,76,34.05460715,0,0,0,7.297247648,,0,0,3.523015231,8.602894843,18.65791529,14.86791819,5.111154169,0.252954708,7.632296532,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,27,73.34865928,0,0,0,12.57404387,,0.024515702,3.063938394,0,0,5.82482256,0.656981859,1.764523052,1.83920823,0.903316587,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,18,27.76098251,9.094113111,0,0,1.762065478,,0.015917492,0,14.03910965,13.54344338,0,0,0,33.78435969,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,AG01,5A,AG01_02,Alnus glutinosa,PM10,6.704696814,2.92176062,11.79360492,1.650836802,231,56.87789321,0,0,0,3.286593035,,0,22.86743671,0,0,5.781300738,11.1867778,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,1.229194416,1.251023157,3.87993653,0.974582929,67,41.06230438,16.51132107,0,0,1.205709018,,5.070038512,0.009435177,9.498690814,26.64250433,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,1.45268431,1.360005555,4.405026622,1.062957658,43,56.58013225,0,0,0,5.443586409,,0.149148237,0.025949688,16.84768498,11.08563095,0,0,2.339442074,7.528430969,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,1.45268431,1.360005555,4.776321387,1.249700586,73,90.4340744,0,0,0,4.095382243,,1.614461094,3.050036356,0,0,0.276122103,0.089074712,0.108576287,0.158039841,0.174234284,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.335234841,0.653325536,1.978417097,0.929130466,30,10.10806262,1.249011885,0,0,12.22389862,,4.539887235,0.013935956,0,8.968988061,18.73416752,41.11650288,2.91915834,0,0.126389565,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.893959575,1.066876133,3.508641765,1.095847984,60,64.17909265,0,0,0,23.07259589,,0,0.352146709,3.572617471,3.360027447,0,0,0,0.272991695,5.190524459,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,1.229194416,1.251023157,4.142481576,1.110940318,60,80.64760566,0,0,0,1.29260635,,1.364444569,13.55526,0,0,1.485389657,0.276373676,0.583819393,0.561366184,0.233141077,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.558724735,0.84343964,2.612256908,0.971905435,44,41.59311652,38.55110109,0,0,18.97002757,,0.041060636,0,0,0.08532182,0.238730432,0.091358641,0.111288484,0.139559165,0.178432919,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,AG01,5A,AG01_02,Alnus glutinosa,PM10,6.704696814,2.92176062,12.2736494,1.787962554,219,56.36180639,21.66909575,0,0,2.170677483,,0,12.9896,0,0,0.666517578,5.169848725,0.023605471,0.593700679,0.355143147,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,1.005704522,1.131593022,3.508641765,0.974087097,51,56.38251305,0,0,0,0,,0.066348532,4.691877961,0,0,17.00120419,6.61322102,0,15.24484158,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.893959575,1.066876133,3.694289147,1.214881794,63,31.13203645,13.64440471,0,0,5.252684653,,0,4.516709596,11.04990169,13.48905861,12.80323565,0,2.437627129,5.674339831,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.446979788,0.754395348,2.874801954,1.471357183,47,70.54838538,0,0,0,0,,0.190898881,4.564658925,0,0,0,18.71232837,0,0,5.98371923,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,12,52.09761858,0,0,0,1.66166462,,0,45.11500895,0.494251726,0.139839319,0,0.132765213,0.160009519,0.198840094,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.558724735,0.84343964,2.612256908,0.971905435,50,45.8422035,0,0,0,14.93495405,,0.009473291,7.104601711,0,0,4.949376732,0,0.411582831,14.15134221,12.59646565,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.335234841,0.653325536,1.978417097,0.929130466,20,99.04869795,0,0,0,0,,0,0.070375658,0.255294214,0.274181273,0,0.351454574,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,27,97.61639237,0,0,0,0,,0.031138401,0.056863442,0.205584266,0.220879656,0.248861546,0.283193728,0.345996488,0.434623053,0.556464307,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,AG01,5A,AG01_02,Alnus glutinosa,PM10,35.53489312,6.72639808,52.39893348,6.148653472,1194,52.68414617,0,0,0,3.153698891,32.07763433,0.990923773,1.453196071,0.888164621,0,0,0,0,5.911742523,2.840484679,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,3.799328195,2.199421492,7.75987306,1.261224967,109,23.73338938,21.22532874,0,0,0,,0.105670036,1.528397854,18.35740209,17.36479849,0,0,0,17.68501997,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,2.346643885,1.728536893,5.595808581,1.061863389,68,46.02094889,0,0,0,0,,0,0,7.933194935,11.49099618,20.09957582,0,10.20175442,0,4.253527522,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,AG01,5A,AG01_02,Alnus glutinosa,PM10,12.40368911,3.97402409,16.01298416,1.645067837,395,25.9521693,6.320759654,0,0,5.091798306,,0,3.961350396,0,0,0,0,3.426294029,0,1.976111718,53.27151418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.335234841,0.653325536,2.164064479,1.111684066,24,85.98018885,0,0,0,5.082441866,,5.404473841,0,0.31779476,0.341018545,0.38379347,0.43630274,0.532195857,0.66773314,0.854054559,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.335234841,0.653325536,1.978417097,0.929130466,19,82.52015114,0,0,0,10.63282862,,0.074537128,0,0,0,2.717562579,0.657788664,1.024148334,1.096857525,1.276121754,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,AG01,5A,AG01_02,Alnus glutinosa,PM10,18.54966119,4.859852072,16.30738126,1.14083439,331,24.22539145,0,0,0,0,,0,2.687070146,0,0,0,0,0,0,12.97030896,60.1172328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,AG01,5A,AG01_02,Alnus glutinosa,PM10,15.64429257,4.463063068,22.42827993,2.558739908,429,58.9543879,8.067021519,0,0,3.927062452,,0.877245516,0,2.870434709,11.49741858,1.356661879,0,0,0,12.44976819,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.446979788,0.754395348,2.164064479,0.83376305,7,0,13.32469434,0,0,0,,1.616789214,0,7.845778018,8.351409435,9.277650714,10.48870161,12.71381527,15.98604321,20.39512247,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,24,38.80971968,2.033918351,0,0,0,,0.010105684,0.015920574,1.346898638,3.051928245,0,0,0,22.89749235,31.83401525,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,0.223489894,0.533438066,1.607122332,0.919665974,22,67.77487397,0,0,0,0,,0.015645135,0.026663247,14.91427571,11.06476858,0,0,0,5.063557625,1.140215341,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,AG01,5A,AG01_02,Alnus glutinosa,PM2.5,1.340939363,1.306651072,6.569091101,2.560893784,79,66.6616261,5.807513744,0,0,3.023666143,,3.281341493,10.6107749,0.178122439,0.333518372,0.267014722,0.090927078,0,0,9.745494276,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
