record_no,light,dur__sec_,date,time,tree_species,scaled,scale,offset,t_for_fm,area,fo,fm,fv,f1,f2,f3,f4,f5,fo_fm,fv_fm,pi_inst_,fv_fo,vj,vi,dvg_dto,dv_dto,sm,n,sm_t_fm_,abs_rc,dio_rc,tro_rc,eto_rc,reo_rc,phi_po_,psi_eo_,phi_eo_,delta_ro_,phi_ro_,abs_cso,dio_cso,tro_cso,eto_cso,reo_cso,abs_csm,dio_csm,tro_csm,eto_csm,reo_csm,gamma_rc____1_gamma_rc__,phi_po____1_phi_po__,psi_eo___1_psi_eo__,pi_abs,dro__1_dro_,pi_total,df_abs,df_total,kp___abs___kf,kn___abs___kf,origin_to_f1,f1_to_f3,f1_to_f4,f1_to_f5,f3_to_f4,f4_to_f5,f5_to_fm
105,3500,1,28/06/2023,09:08:08,Phoenix dactylifera, NO,-,-,900,861544,5733,29879,24146,6010,6287,7385,11985,24114,0.1919,0.808,9.2168,4.212,0.2589,0.7612,0.1147,0.2281,35.7204,31.462,0.0397,1.0899,0.2091,0.8808,0.6527,0.21,0.8081,0.7411,0.5989,0.3222,0.1929,5733,1100.01302,4632.98698,3433.39141,1106.15298,29879,5733,24146,17894,5765,0.9175,4.212,2.8621,11.06,0.4753,5.257,1.0438,0.7207,1e-4,0,960,5794,39257,327844,33463,288586,533700
,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
End Of File,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3500,1,29/06/2023,08:33:49,Wollemia nobilis, NO,-,-,700,1091162,6832,41445,34613,7167,7513,8870,15756,33318,0.1648,0.835,13.3334,5.066,0.2578,0.7652,0.1,0.1963,31.5246,23.9979,0.045,0.9115,0.1503,0.7612,0.565,0.179,0.8352,0.7422,0.6198,0.3164,0.1961,6832,1126.22087,5705.77913,4234.70257,1339.6951100000001,41445,6832,34613,25689,8127,1.0971,5.066,2.8786,16,0.4628,7.4042,1.2041,0.8695,1e-4,0,1377,8358,56888,460900,48531,404012,628885
2,3500,1,29/06/2023,08:34:16,Wollemia nobilis, NO,-,-,600,1206800,7759,46360,38601,8217,8639,10646,21466,37676,0.1674,0.833,8.9297,4.975,0.3551,0.775,0.1093,0.2493,31.2634,21.9493,0.0521,0.8432,0.1411,0.7021,0.4528,0.158,0.8326,0.6449,0.537,0.3488,0.1873,7759,1298.57811,6460.42189,4166.36208,1453.38991,46360,7759,38601,24894,8684,1.186,4.975,1.8162,10.716,0.5357,5.7406,1.03,0.759,1e-4,0,1534,9242,58910,465671,49667,406762,739595
3,3500,1,29/06/2023,08:34:43,Wollemia nobilis, NO,-,-,600,744307,5339,32914,27575,5683,6042,7547,16221,27901,0.1622,0.838,8.1784,5.165,0.3946,0.8182,0.1302,0.2669,26.9921,18.256,0.045,0.8073,0.131,0.6763,0.4094,0.123,0.8378,0.6054,0.5072,0.3003,0.1523,5339,866.0424,4472.95756,2707.7817,813.1618,32914,5339,27575,16693,5013,1.2387,5.165,1.534,9.814,0.4292,4.2121,0.9918,0.6245,2e-4,0,1095,6584,40831,299527,34247,258696,443685
4,3500,1,29/06/2023,08:35:00,Wollemia nobilis, NO,-,-,600,953238,6506,38178,31672,6965,7360,9377,19313,31517,0.1704,0.83,6.6342,4.868,0.4044,0.7897,0.1247,0.3022,30.0972,22.4901,0.0502,0.9007,0.1535,0.7472,0.4451,0.157,0.8296,0.5956,0.4941,0.3531,0.1745,6506,1108.70229,5397.29771,3214.82765,1135.11619,38178,6506,31672,18865,6661,1.1102,4.868,1.473,7.961,0.5458,4.3452,0.901,0.638,1e-4,0,1256,7518,46056,354532,38538,308476,597450
5,3500,1,29/06/2023,08:35:15,Wollemia nobilis, NO,-,-,600,865541,6594,35956,29362,7020,7412,9304,18751,29942,0.1834,0.817,5.7713,4.453,0.414,0.7952,0.1335,0.3077,29.4783,21.904,0.0491,0.9099,0.1669,0.7431,0.4354,0.152,0.8166,0.586,0.4785,0.3495,0.1673,6594,1209.27901,5384.72099,3155.2389,1102.91234,35956,6594,29362,17205,6014,1.099,4.453,1.4152,6.926,0.5374,3.7218,0.8405,0.5708,1e-4,0,1164,6961,42436,321122,35475,278686,543255
6,3500,1,29/06/2023,08:35:31,Wollemia nobilis, NO,-,-,600,859607,5906,35261,29355,6179,6466,7721,16149,28841,0.1675,0.833,10.893,4.97,0.3489,0.7813,0.0978,0.2061,29.2831,17.296,0.0488,0.7095,0.1188,0.5906,0.3845,0.129,0.8325,0.6511,0.542,0.3359,0.1821,5906,989.2186,4916.78143,3201.14211,1075.3104,35261,5906,29355,19112,6420,1.4095,4.97,1.8659,13.072,0.5058,6.612,1.1163,0.8203,1e-4,0,1168,7083,45583,349399,38500,303816,509040
7,3500,1,29/06/2023,08:35:43,Wollemia nobilis, NO,-,-,600,989118,5807,39508,33701,6168,6476,8059,17168,32420,0.147,0.853,12.2773,5.804,0.3371,0.7897,0.0914,0.2227,29.3498,19.3926,0.0489,0.7746,0.1139,0.6607,0.438,0.139,0.853,0.6629,0.5655,0.3173,0.1794,5807,853.5296,4953.47036,3283.59775,1041.81472,39508,5807,33701,22340,7088,1.291,5.804,1.9664,14.733,0.4647,6.8467,1.1683,0.8355,1e-4,0,1340,8113,52428,404843,44314,352415,582935
8,3500,1,29/06/2023,08:35:56,Wollemia nobilis, NO,-,-,400,774017,6153,39386,33233,6581,6987,8957,20487,33894,0.1562,0.844,7.6791,5.401,0.4313,0.8347,0.1222,0.2812,23.2906,15.1869,0.0582,0.7728,0.1207,0.6521,0.3708,0.108,0.8438,0.5687,0.4798,0.2906,0.1394,6153,961.2403,5191.75974,2952.45892,857.9768,39386,6153,33233,18899,5492,1.294,5.401,1.3185,9.215,0.4096,3.7748,0.9645,0.5769,1e-4,0,1319,7924,47752,338548,39828,290796,434150
9,3500,1,29/06/2023,08:36:10,Wollemia nobilis, NO,-,-,500,747137,6312,40114,33802,6800,7268,9549,21767,34828,0.1574,0.843,6.3942,5.355,0.4572,0.8436,0.1385,0.3192,22.1033,15.4316,0.0442,0.8285,0.1304,0.6982,0.3789,0.109,0.8426,0.5428,0.4574,0.2881,0.1318,6312,993.203,5318.79703,2886.92885,831.7603,40114,6312,33802,18347,5286,1.207,5.355,1.1871,7.673,0.4047,3.1054,0.885,0.4921,1e-4,0,1340,8007,47041,328962,39034,281921,416835
10,3500,1,29/06/2023,08:36:23,Wollemia nobilis, NO,-,-,400,786363,5843,34438,28595,6212,6572,8257,17744,29019,0.1697,0.83,7.0254,4.894,0.4162,0.8105,0.1259,0.2814,27.5,18.5937,0.0688,0.8143,0.1382,0.6761,0.3947,0.128,0.8303,0.5838,0.4848,0.3246,0.1574,5843,991.3656,4851.63439,2832.42471,919.4267,34438,5843,28595,16694,5419,1.2281,4.894,1.4027,8.43,0.4806,4.0519,0.9259,0.6077,1e-4,0,1135,6813,41524,305778,34711,264254,479450
11,3500,1,29/06/2023,08:36:37,Wollemia nobilis, NO,-,-,400,872124,5952,41628,35676,6311,6651,8266,19898,35132,0.143,0.857,12.0598,5.994,0.3909,0.8179,0.0953,0.2162,24.4457,13.5205,0.0611,0.6454,0.0923,0.5531,0.3369,0.101,0.857,0.6091,0.522,0.2989,0.156,5952,851.021,5100.97896,3106.97031,928.8025,41628,5952,35676,21730,6496,1.5495,5.994,1.5582,14.472,0.4264,6.171,1.1605,0.7904,1e-4,0,1419,8600,53643,383895,45043,330252,486810
12,3500,1,29/06/2023,08:36:48,Wollemia nobilis, NO,-,-,900,3212760,6168,44294,38126,6730,7214,9826,23728,38043,0.1393,0.861,7.4782,6.181,0.4606,0.836,0.1269,0.3198,84.2669,58.5134,0.0936,0.8067,0.1123,0.6944,0.3746,0.114,0.8607,0.5394,0.4643,0.3039,0.1411,6168,858.9024,5309.09758,2863.84359,870.4603,44294,6168,38126,20566,6251,1.2396,6.181,1.1712,8.974,0.4367,3.9187,0.953,0.5931,1e-4,0,1511,9034,52762,373939,43728,321177,2837310
13,3500,1,29/06/2023,08:37:07,Wollemia nobilis, NO,-,-,900,3220961,3221,25746,22525,3332,3412,3891,7727,17100,0.1251,0.875,41.1363,6.993,0.2,0.6162,0.0355,0.0991,142.995,70.8734,0.1589,0.5665,0.0709,0.4956,0.3965,0.19,0.8749,0.8,0.6999,0.4798,0.3358,3221,402.969,2818.03096,2254.29966,1081.6735,25746,3221,22525,18019,8646,1.7652,6.993,3.9989,49.364,0.9224,45.5347,1.6934,1.6583,3e-4,0,899,5537,39138,383698,33602,344559,2836365
14,3500,1,29/06/2023,08:37:18,Wollemia nobilis, NO,-,-,290,557520,5117,33761,28644,5482,5807,7494,18151,29630,0.1516,0.848,7.7974,5.598,0.455,0.8558,0.1135,0.2766,19.4638,11.832,0.0671,0.7165,0.1086,0.6079,0.3313,0.088,0.8484,0.545,0.4624,0.2646,0.1224,5117,775.5602,4341.43977,2365.93614,626.1167,33761,5117,28644,15610,4131,1.3957,5.598,1.1976,9.357,0.3599,3.3673,0.9711,0.5273,2e-4,0,1137,6837,40485,268623,33648,228138,287760
15,3500,1,29/06/2023,08:37:33,Wollemia nobilis, NO,-,-,500,822460,6418,40611,34193,6841,7261,9214,20872,34236,0.158,0.842,7.917,5.328,0.4227,0.8136,0.1228,0.2726,24.0534,15.5098,0.0481,0.7658,0.121,0.6448,0.3722,0.12,0.842,0.5773,0.4861,0.323,0.157,6418,1014.27505,5403.72495,3119.47261,1007.4795,40611,6418,34193,19739,6375,1.3058,5.328,1.3656,9.5,0.477,4.5319,0.9777,0.6563,1e-4,0,1357,8164,49430,362087,41266,312658,459015
16,3500,1,29/06/2023,08:38:02,Tilia tomentosa, NO,-,-,600,1107538,6617,37531,30914,7172,7672,10203,20768,30319,0.1763,0.824,4.4972,4.672,0.4578,0.7667,0.1617,0.3867,35.8264,30.2625,0.0597,1.0255,0.1808,0.8447,0.458,0.197,0.8237,0.5422,0.4466,0.4302,0.1922,6617,1166.62729,5450.37271,2955.44406,1271.53031,37531,6617,30914,16763,7212,0.9751,4.672,1.1846,5.397,0.7551,4.075,0.7321,0.6101,1e-4,0,1223,7235,41794,355285,34559,313491,751030
17,3500,1,29/06/2023,08:38:13,Tilia tomentosa, NO,-,-,700,1367835,6707,40571,33864,7180,7629,9810,20755,31642,0.1653,0.835,6.7283,5.049,0.4148,0.7363,0.1326,0.3054,40.392,29.74,0.0577,0.8821,0.1458,0.7363,0.4308,0.194,0.8347,0.5852,0.4884,0.4506,0.2201,6707,1108.76855,5598.23145,3275.88455,1476.09877,40571,6707,33864,19816,8929,1.1336,5.049,1.4106,8.074,0.8202,6.6219,0.9071,0.821,1e-4,0,1343,8038,48422,419157,40383,370736,947335
18,3500,1,29/06/2023,08:38:25,Tilia tomentosa, NO,-,-,600,984583,6357,34989,28632,6908,7398,9915,19647,28503,0.1817,0.818,3.9732,4.504,0.4642,0.7735,0.1711,0.4142,34.3875,30.6874,0.0573,1.0905,0.1981,0.8924,0.4782,0.202,0.8183,0.5358,0.4385,0.4228,0.1854,6357,1154.97582,5202.02418,2787.42159,1178.41327,34989,6357,28632,15342,6486,0.917,4.504,1.1544,4.768,0.7324,3.4919,0.6783,0.5431,1e-4,0,1131,6665,38319,320047,31653,281728,663405
19,3500,1,29/06/2023,08:38:36,Tilia tomentosa, NO,-,-,600,1193926,7140,35421,28281,7741,8309,10885,20282,28107,0.2016,0.798,3.1961,3.961,0.4647,0.7414,0.2008,0.4414,42.2165,40.1007,0.0704,1.1897,0.2398,0.9499,0.5085,0.246,0.7984,0.5353,0.4274,0.4831,0.2065,7140,1439.2479,5700.7521,3051.64902,1474.32201,35421,7140,28281,15139,7314,0.8406,3.961,1.152,3.835,0.9347,3.5848,0.5838,0.5545,1e-4,0,1117,6540,37657,329244,31117,291587,863565
20,3500,1,29/06/2023,08:38:49,Tilia tomentosa, NO,-,-,600,1190760,7298,35633,28335,7916,8508,11291,20775,28495,0.2048,0.795,2.872,3.883,0.4756,0.7481,0.2089,0.4697,42.0244,41.5036,0.07,1.242,0.2544,0.9876,0.5179,0.249,0.7952,0.5244,0.417,0.4804,0.2003,7298,1494.70446,5803.29554,3043.06918,1461.93484,35633,7298,28335,14858,7138,0.8052,3.883,1.1025,3.446,0.9246,3.1866,0.5374,0.5033,1e-4,0,1118,6520,37019,322483,30499,285464,867160
21,3500,1,29/06/2023,08:39:01,Tilia tomentosa, NO,-,-,800,914538,8383,29798,21415,9374,10337,14073,21335,25422,0.2813,0.719,0.6827,2.555,0.6048,0.7957,0.4497,0.8857,42.7055,62.5371,0.0534,2.0376,0.5732,1.4644,0.5787,0.299,0.7187,0.3952,0.284,0.5171,0.1469,8383,2358.36932,6024.63068,2380.87553,1231.0896,29798,8383,21415,8463,4376,0.4908,2.555,0.6534,0.819,1.0707,0.8771,-0.0866,-0.0569,1e-4,0,832,4500,22258,192356,17757,170098,721350
22,3500,1,29/06/2023,08:39:18,Tilia tomentosa, NO,-,-,600,1002187,6759,33316,26557,7423,8033,10951,20205,27398,0.2029,0.797,2.4489,3.929,0.5063,0.7772,0.2297,0.5262,37.7372,39.2172,0.0629,1.3037,0.2645,1.0392,0.5131,0.232,0.7971,0.49370000000000003,0.3935,0.4514,0.1776,6759,1371.23547,5387.76453,2659.90062,1200.61718,33316,6759,26557,13111,5918,0.767,3.929,0.9751,2.939,0.8227,2.4178,0.4682,0.3834,1e-4,0,1046,6049,33323,282746,27274,249423,718395
23,3500,1,29/06/2023,08:39:30,Tilia tomentosa, NO,-,-,600,1095269,7201,36732,29531,7865,8481,11364,21957,30050,0.196,0.804,2.9254,4.101,0.4997,0.7737,0.2086,0.4699,37.0888,34.8786,0.0618,1.1697,0.2293,0.9404,0.4705,0.213,0.804,0.5003,0.4022,0.4523,0.1819,7201,1411.69555,5789.30445,2896.51462,1309.94996,36732,7201,29531,14775,6682,0.8549,4.101,1.0013,3.51,0.8257,2.8984,0.5454,0.4622,1e-4,0,1164,6800,37820,314580,31020,276759,779525
24,3500,1,29/06/2023,08:39:42,Tilia tomentosa, NO,-,-,700,956434,7167,31289,24122,7805,8420,11118,19542,25660,0.2291,0.771,1.9287,3.366,0.513,0.7666,0.255,0.546,39.6499,42.1971,0.0566,1.3804,0.3162,1.0642,0.5183,0.248,0.7709,0.487,0.3754,0.4792,0.1799,7167,1641.65966,5525.34034,2690.74592,1289.36824,31289,7167,24122,11747,5629,0.7244,3.366,0.9493,2.314,0.9201,2.1294,0.3644,0.3283,1e-4,0,949,5463,30097,253720,24634,223623,701765
25,3500,1,29/06/2023,08:39:53,Tilia tomentosa, NO,-,-,600,1299238,7196,38717,31521,7810,8376,11147,21625,30841,0.1859,0.814,3.8569,4.38,0.4578,0.7501,0.1796,0.4178,41.2182,37.6217,0.0687,1.1211,0.2084,0.9127,0.4949,0.228,0.8141,0.5422,0.4415,0.4608,0.2034,7196,1337.45941,5858.54059,3176.74489,1463.84524,38717,7196,31521,17092,7876,0.892,4.38,1.1846,4.628,0.8546,3.9553,0.6654,0.5972,1e-4,0,1245,7328,42333,369963,35004,327630,928030
26,3500,1,29/06/2023,08:40:05,Tilia tomentosa, NO,-,-,600,700510,6269,35913,29644,6976,7611,10885,22271,31697,0.1746,0.825,2.8839,4.729,0.5398,0.8578,0.2142,0.519,23.6308,22.7221,0.0394,1.1649,0.2033,0.9615,0.4425,0.137,0.8254,0.4602,0.3799,0.309,0.1174,6269,1094.3213,5174.6787,2381.35767,735.9481,35913,6269,29644,13642,4216,0.8584,4.729,0.8525,3.461,0.4473,1.5479,0.5392,0.1897,1e-4,0,1168,6776,35969,271422,29193,235454,427920
27,3500,1,29/06/2023,08:40:24,Tilia tomentosa, NO,-,-,600,1037958,6714,43865,37151,7384,7970,11056,24471,36693,0.15310000000000001,0.847,5.2331,5.533,0.478,0.807,0.1577,0.3896,27.9389,22.7724,0.0466,0.9624,0.1473,0.8151,0.4255,0.157,0.8469,0.522,0.4421,0.3698,0.1635,6714,1027.64838,5686.35162,2968.45585,1097.7501,43865,6714,37151,19394,7172,1.0391,5.533,1.0922,6.28,0.5868,3.685,0.7979,0.5664,1e-4,0,1469,8692,49128,400194,40436,351066,636295
28,3500,1,29/06/2023,08:40:37,Tilia tomentosa, NO,-,-,400,724713,5895,38938,33043,6655,7366,10963,23777,34288,0.1514,0.849,3.5574,5.605,0.5412,0.8593,0.2152,0.5113,21.9324,20.7198,0.0548,1.1133,0.1685,0.9447,0.4335,0.133,0.8486,0.4588,0.3894,0.3067,0.1194,5895,892.4707,5002.52928,2295.29239,703.9845,38938,5895,33043,15161,4650,0.8983,5.605,0.8478,4.269,0.4424,1.8885,0.6303,0.2761,1e-4,0,1301,7569,40003,300497,32434,260494,422915
29,3500,1,29/06/2023,08:40:51,Tilia tomentosa, NO,-,-,600,988560,6123,40155,34032,6698,7196,9829,21829,33166,0.1525,0.848,5.8234,5.558,0.4615,0.7946,0.1463,0.363,29.048,22.8473,0.0484,0.928,0.1415,0.7865,0.4235,0.162,0.8475,0.5385,0.4564,0.3814,0.1741,6123,933.6603,5189.33971,2794.42406,1065.71154,40155,6123,34032,18326,6989,1.0775,5.558,1.1668,6.988,0.6165,4.308,0.8444,0.6343,1e-4,0,1347,8003,45980,381953,37977,335973,605260
30,3500,1,29/06/2023,08:41:03,Tilia tomentosa, NO,-,-,600,996446,6493,42841,36348,7086,7634,10398,23441,36064,0.1516,0.848,5.899,5.598,0.4663,0.8136,0.1508,0.3581,27.4141,21.055,0.0457,0.9052,0.1372,0.768,0.4099,0.143,0.8484,0.5337,0.4528,0.3493,0.1582,6493,984.0818,5508.91819,2940.27217,1027.12497,42841,6493,36348,19400,6777,1.1047,5.598,1.1447,7.079,0.5369,3.8004,0.85,0.5798,1e-4,0,1439,8553,49009,390677,40456,341668,604330
31,3500,1,29/06/2023,08:41:47,Ostrya carpinifolia, NO,-,-,700,1404961,6829,42167,35338,7281,7695,9702,20387,34594,0.162,0.838,8.219,5.175,0.3837,0.7857,0.1172,0.271,39.7578,28.0828,0.0568,0.8428,0.1365,0.7063,0.4353,0.151,0.838,0.6163,0.5165,0.3477,0.1796,6829,1105.96535,5723.03465,3527.29907,1226.45711,42167,6829,35338,21780,7573,1.1865,5.175,1.6064,9.863,0.533,5.2573,0.994,0.7208,1e-4,0,1403,8437,52506,415428,44069,362922,988130
32,3500,1,29/06/2023,08:41:59,Ostrya carpinifolia, NO,-,-,600,1131633,7234,53351,46117,8018,8727,12413,28875,46933,0.1356,0.864,6.5108,6.375,0.4693,0.8608,0.1537,0.3743,24.5383,19.5746,0.0409,0.9228,0.1251,0.7977,0.4234,0.111,0.8644,0.5307,0.4588,0.2622,0.1203,7234,980.8768,6253.12324,3318.76411,870.2332,53351,7234,46117,24476,6418,1.0836,6.375,1.131,7.813,0.3554,2.7768,0.8928,0.4435,1e-4,0,1824,10820,62330,424920,51510,362590,704890
33,3500,1,29/06/2023,08:42:13,Ostrya carpinifolia, NO,-,-,600,1153731,6662,40252,33590,7137,7580,9758,20766,33727,0.1655,0.834,6.6205,5.042,0.4199,0.8057,0.1319,0.3072,34.3475,25.1323,0.0572,0.8768,0.1451,0.7317,0.4245,0.142,0.8345,0.5801,0.4841,0.3349,0.1621,6662,1102.60966,5559.39034,3225.07533,1079.93516,40252,6662,33590,19486,6525,1.1405,5.042,1.3816,7.945,0.5034,3.9996,0.9001,0.602,1e-4,0,1332,7969,48143,367969,40174,319826,784430
34,3500,1,29/06/2023,08:42:24,Ostrya carpinifolia, NO,-,-,700,1297203,6553,38638,32085,6990,7380,9197,17747,31255,0.1696,0.83,8.0313,4.896,0.3489,0.7699,0.1216,0.2747,40.4302,31.8318,0.0578,0.9481,0.1608,0.7873,0.5126,0.181,0.8304,0.6511,0.5407,0.3534,0.1911,6553,1111.38799,5441.61201,3543.111,1252.15588,38638,6553,32085,20891,7383,1.0547,4.896,1.8663,9.638,0.5466,5.2676,0.984,0.7216,1e-4,0,1273,7642,48767,399819,41125,351053,896110
35,3500,1,29/06/2023,08:42:38,Ostrya carpinifolia, NO,-,-,700,1154917,6251,39204,32953,6641,7020,8847,19041,32608,0.1594,0.841,8.604,5.272,0.3881,0.7998,0.115,0.2626,35.0474,23.712,0.0501,0.8049,0.1283,0.6766,0.414,0.135,0.8406,0.6119,0.5143,0.3271,0.1682,6251,996.7095,5254.29046,3214.95034,1051.71911,39204,6251,32953,20163,6596,1.2424,5.272,1.5765,10.325,0.4862,5.0197,1.0139,0.7007,1e-4,0,1308,7880,48848,378909,40968,330061,774700
36,3500,1,29/06/2023,08:42:52,Ostrya carpinifolia, NO,-,-,700,983515,5758,38057,32299,6183,6559,8545,18407,32219,0.1513,0.849,8.3915,5.609,0.3916,0.8193,0.1164,0.2876,30.4503,22.3641,0.0435,0.8654,0.1309,0.7344,0.4468,0.133,0.8487,0.6084,0.5163,0.2971,0.1534,5758,871.1818,4886.81825,2973.03256,883.2857,38057,5758,32299,19650,5838,1.1556,5.609,1.5535,10.07,0.4227,4.2562,1.003,0.629,1e-4,0,1281,7693,47454,353838,39761,306384,628395
37,3500,1,29/06/2023,08:43:01,Ostrya carpinifolia, NO,-,-,600,1205616,6308,39592,33284,6741,7128,9096,19310,32460,0.1593,0.841,8.0673,5.276,0.3906,0.7857,0.1163,0.2792,36.2221,25.8902,0.0604,0.8502,0.1355,0.7148,0.4355,0.153,0.8407,0.6094,0.5123,0.3516,0.1801,6308,1005.02283,5302.97717,3231.43201,1136.30673,39592,6308,33284,20282,7132,1.1762,5.276,1.5599,9.681,0.5424,5.2505,0.9859,0.7202,1e-4,0,1321,7938,49124,386111,41186,336987,818185
38,3500,1,29/06/2023,08:43:14,Ostrya carpinifolia, NO,-,-,700,1269943,6575,41752,35177,6995,7399,9446,20434,34625,0.1575,0.843,8.3675,5.35,0.394,0.7974,0.1148,0.2721,36.1015,24.929,0.0516,0.8196,0.1291,0.6905,0.4185,0.14,0.8425,0.606,0.5106,0.3343,0.1707,6575,1035.41447,5539.58553,3357.10505,1122.34204,41752,6575,35177,21318,7127,1.2201,5.35,1.5382,10.041,0.5022,5.0428,1.0018,0.7027,1e-4,0,1396,8401,51764,399781,43364,348017,868765
39,3500,1,29/06/2023,08:43:25,Ostrya carpinifolia, NO,-,-,600,1053535,6041,38940,32899,6510,6932,9120,19747,32956,0.1551,0.845,7.1702,5.446,0.4166,0.8181,0.1283,0.312,32.0233,23.9797,0.0534,0.8863,0.1375,0.7488,0.4369,0.136,0.8449,0.5834,0.4929,0.3118,0.1537,6041,937.1772,5103.82278,2977.5273,928.3345,38940,6041,32899,19193,5984,1.1283,5.446,1.4003,8.604,0.453,3.898,0.9347,0.5908,1e-4,0,1304,7802,47215,357150,39412,309936,695080
40,3500,1,29/06/2023,08:43:40,Ostrya carpinifolia, NO,-,-,700,1183356,6473,41501,35028,6891,7322,9336,20032,34792,0.156,0.844,8.5624,5.411,0.3871,0.8085,0.123,0.2724,33.7832,23.7779,0.0483,0.8339,0.1301,0.7038,0.4314,0.135,0.844,0.6129,0.5173,0.3125,0.1617,6473,1009.6077,5463.3923,3348.56599,1046.41712,41501,6473,35028,21469,6709,1.1992,5.411,1.5834,10.275,0.4545,4.6704,1.0118,0.6693,1e-4,0,1390,8366,51816,394391,43450,342575,787575
41,3500,1,29/06/2023,08:43:53,Ostrya carpinifolia, NO,-,-,600,992819,6311,40179,33868,6818,7291,9669,20882,34564,0.1571,0.843,6.4988,5.367,0.4302,0.8342,0.1397,0.3305,29.3144,22.5191,0.0489,0.9113,0.1431,0.7682,0.4377,0.127,0.8429,0.5698,0.4803,0.291,0.1397,6311,991.282,5319.71796,3031.02036,881.9599,40179,6311,33868,19297,5615,1.0973,5.367,1.3243,7.799,0.4104,3.2005,0.892,0.5052,1e-4,0,1341,8006,47880,345572,39874,297692,645905
42,3500,1,29/06/2023,08:44:06,Ostrya carpinifolia, NO,-,-,600,1130196,6773,44752,37979,7338,7822,10409,22780,38286,0.1513,0.849,7.1892,5.607,0.4215,0.8297,0.1274,0.3191,29.7585,22.5322,0.0496,0.8922,0.135,0.7572,0.438,0.129,0.8487,0.5785,0.491,0.2943,0.1445,6773,1025.06098,5747.93902,3325.35654,978.598,44752,6773,37979,21972,6466,1.1208,5.607,1.3726,8.627,0.417,3.5975,0.9359,0.556,1e-4,0,1505,8992,54130,395972,45138,341842,732720
43,3500,1,29/06/2023,08:44:17,Ostrya carpinifolia, NO,-,-,700,1257632,6528,42835,36307,6979,7387,9468,20388,35758,0.1524,0.848,8.9981,5.562,0.3817,0.8051,0.1124,0.2699,34.6388,24.4921,0.0495,0.8342,0.1271,0.7071,0.4372,0.138,0.8476,0.6183,0.524,0.3153,0.1652,6528,994.859,5533.14103,3420.8945,1078.52588,42835,6528,36307,22447,7077,1.1988,5.562,1.6196,10.798,0.4604,4.9718,1.0333,0.6965,1e-4,0,1441,8674,53929,413800,45256,359871,842390
44,3500,1,29/06/2023,08:44:27,Ostrya carpinifolia, NO,-,-,600,1147589,6519,42434,35915,7010,7443,9685,21109,35921,0.1536,0.846,7.8519,5.509,0.4062,0.8187,0.1206,0.2938,31.9529,23.1124,0.0533,0.8546,0.1313,0.7233,0.4295,0.131,0.8464,0.5938,0.5025,0.3054,0.1535,6519,1001.49317,5517.50683,3276.0917,1000.57141,42434,6519,35915,21325,6513,1.1701,5.509,1.4616,9.422,0.4397,4.1431,0.9742,0.6173,1e-4,0,1425,8545,52209,387219,43664,335010,758945
45,3500,1,29/06/2023,08:44:47,Ostrya carpinifolia, NO,-,-,600,1061880,6959,45731,38772,7622,8205,11256,24368,39801,0.1522,0.848,5.871,5.571,0.449,0.8471,0.1504,0.3694,27.3878,22.5334,0.0456,0.9704,0.1477,0.8228,0.4533,0.126,0.8478,0.551,0.4671,0.2776,0.1297,6959,1058.96834,5900.03166,3250.86084,902.3828,45731,6959,38772,21363,5930,1.0305,5.571,1.2271,7.045,0.3842,2.7071,0.8479,0.4325,1e-4,0,1533,9100,53456,376296,44356,322840,684050
46,3500,1,29/06/2023,08:45:14,Metasequoia glyptostroboides, NO,-,-,500,1094854,6794,42809,36015,7421,8004,10937,23719,35542,0.1587,0.841,5.1373,5.301,0.4699,0.7982,0.1619,0.3835,30.4395,24.8372,0.0609,0.9699,0.1539,0.816,0.4325,0.165,0.8413,0.5301,0.4459,0.3807,0.1698,6794,1078.2414,5715.7586,3029.6774,1153.30884,42809,6794,36015,19090,7267,1.0311,5.301,1.1279,6.165,0.6146,3.7892,0.7899,0.5785,1e-4,0,1425,8429,48413,374494,39984,326081,720360
47,3500,1,29/06/2023,08:45:25,Metasequoia glyptostroboides, NO,-,-,500,1024214,6216,39637,33421,6732,7181,9448,20760,32782,0.1568,0.843,6.6196,5.377,0.4352,0.7949,0.1343,0.3224,30.6854,22.73,0.0614,0.8785,0.1378,0.7407,0.4184,0.152,0.8432,0.5648,0.4762,0.3631,0.1729,6216,974.8128,5241.18717,2960.35099,1075.02283,39637,6216,33421,18877,6855,1.1383,5.377,1.2979,7.943,0.5702,4.5294,0.9,0.656,1e-4,0,1324,7906,47056,364614,39150,317558,659600
